customer_id,registration_date,region,acquisition_channel,preferred_device,preferred_category,segment,base_purchase_prob,age_band
C00026,2022-10-22,South East,Social Media,Desktop,Electronics,At Risk,0.28,18-24
C00027,2022-05-04,North West,Direct,Mobile,Electronics,New,0.38,18-24
C00028,2021-05-31,South West,Organic Search,Mobile,Toys,Hibernating,0.12,35-44
C00029,2023-05-31,London,Direct,Desktop,Home & Garden,Loyal,0.55,25-34
C00030,2024-01-28,Scotland,Direct,Mobile,Sports,New,0.38,45-54
C00031,2021-04-14,London,Organic Search,Desktop,Clothing,Hibernating,0.12,25-34
C00032,2021-12-04,Yorkshire,Referral,Mobile,Clothing,Hibernating,0.12,35-44
C00033,2023-03-27,South West,Social Media,Desktop,Home & Garden,New,0.38,18-24
C00034,2022-04-15,South East,Referral,Mobile,Sports,Loyal,0.55,35-44
C00035,2021-08-14,South West,Email,Desktop,Clothing,At Risk,0.28,35-44
C00036,2022-07-01,London,Referral,Mobile,Clothing,New,0.38,55+
C00037,2023-11-27,North West,Referral,Tablet,Sports,Lost,0.05,25-34
C00038,2023-09-08,South East,Paid Search,Mobile,Electronics,Loyal,0.55,45-54
C00039,2024-09-08,London,Email,Tablet,Clothing,Hibernating,0.12,35-44
C00040,2024-11-10,Scotland,Organic Search,Desktop,Home & Garden,At Risk,0.28,25-34
C00041,2022-06-22,Scotland,Direct,Mobile,Home & Garden,New,0.38,45-54
C00042,2021-11-17,North West,Organic Search,Desktop,Clothing,Champions,0.72,35-44
C00043,2022-12-28,North West,Organic Search,Tablet,Sports,New,0.38,45-54
C00044,2021-11-01,Scotland,Paid Search,Mobile,Home & Garden,Champions,0.72,45-54
C00045,2023-10-01,Yorkshire,Social Media,Mobile,Electronics,Lost,0.05,35-44
C00046,2023-07-25,Wales,Paid Search,Mobile,Beauty,New,0.38,25-34
C00047,2023-12-18,London,Referral,Desktop,Beauty,Champions,0.72,25-34
C00048,2023-12-18,Yorkshire,Organic Search,Mobile,Clothing,Lost,0.05,55+
C00049,2023-06-16,North East,Email,Desktop,Electronics,Lost,0.05,25-34
C00050,2023-09-24,North West,Organic Search,Mobile,Electronics,Loyal,0.55,55+
C00051,2022-03-29,London,Paid Search,Mobile,Clothing,At Risk,0.28,25-34
C00052,2021-01-23,Wales,Direct,Mobile,Clothing,Champions,0.72,55+
C00053,2023-02-08,South West,Email,Tablet,Books,Hibernating,0.12,45-54
C00054,2021-06-09,Midlands,Paid Search,Desktop,Electronics,Lost,0.05,35-44
C00055,2024-07-15,Wales,Direct,Mobile,Clothing,At Risk,0.28,18-24
C00056,2024-06-30,South West,Organic Search,Mobile,Sports,Champions,0.72,18-24
C00057,2022-02-22,Yorkshire,Email,Mobile,Books,Loyal,0.55,18-24
C00058,2022-12-30,South East,Organic Search,Desktop,Sports,New,0.38,55+
C00059,2023-09-05,Midlands,Direct,Mobile,Clothing,Loyal,0.55,35-44
C00060,2021-10-06,London,Direct,Mobile,Sports,New,0.38,25-34
C00061,2022-11-30,London,Referral,Desktop,Electronics,Champions,0.72,55+
C00062,2023-01-05,Midlands,Email,Mobile,Electronics,Lost,0.05,25-34
C00063,2023-06-10,Wales,Social Media,Mobile,Books,Loyal,0.55,55+
C00064,2022-02-02,Yorkshire,Direct,Mobile,Clothing,Hibernating,0.12,18-24
C00065,2024-01-03,Scotland,Social Media,Mobile,Clothing,New,0.38,25-34
C00066,2023-03-06,London,Organic Search,Tablet,Electronics,New,0.38,25-34
C00067,2022-05-15,Scotland,Email,Mobile,Beauty,Loyal,0.55,35-44
C00068,2023-05-26,North West,Direct,Mobile,Electronics,Hibernating,0.12,18-24
C00069,2024-05-28,North East,Social Media,Desktop,Beauty,Hibernating,0.12,35-44
C00070,2021-12-14,North West,Organic Search,Desktop,Clothing,Lost,0.05,55+
C00071,2022-11-16,London,Direct,Mobile,Toys,Lost,0.05,18-24
C00072,2024-06-04,London,Organic Search,Mobile,Electronics,New,0.38,55+
C00073,2024-07-06,London,Organic Search,Tablet,Sports,Lost,0.05,35-44
C00074,2022-10-30,London,Email,Mobile,Clothing,At Risk,0.28,25-34
C00075,2023-05-19,Wales,Email,Mobile,Electronics,Lost,0.05,45-54
C00076,2023-01-02,London,Organic Search,Tablet,Electronics,Loyal,0.55,35-44
C00077,2022-03-26,Scotland,Email,Mobile,Electronics,Champions,0.72,45-54
C00078,2021-05-26,London,Email,Mobile,Toys,Lost,0.05,45-54
C00079,2021-04-15,South East,Organic Search,Desktop,Sports,At Risk,0.28,55+
C00080,2023-02-10,North East,Direct,Desktop,Clothing,Hibernating,0.12,35-44
C00081,2021-01-01,Midlands,Organic Search,Desktop,Home & Garden,Lost,0.05,25-34
C00082,2024-01-01,Yorkshire,Paid Search,Desktop,Electronics,Champions,0.72,45-54
C00083,2021-08-24,Scotland,Paid Search,Mobile,Clothing,Hibernating,0.12,45-54
C00084,2023-05-03,Scotland,Direct,Desktop,Toys,New,0.38,35-44
C00085,2023-03-09,London,Social Media,Mobile,Electronics,Hibernating,0.12,55+
C00086,2022-06-26,Scotland,Direct,Mobile,Books,Hibernating,0.12,35-44
C00087,2023-09-11,Midlands,Paid Search,Mobile,Home & Garden,Champions,0.72,25-34
C00088,2021-04-21,London,Organic Search,Mobile,Home & Garden,Loyal,0.55,25-34
C00089,2021-10-08,Yorkshire,Email,Mobile,Clothing,Lost,0.05,18-24
C00090,2023-10-26,North West,Organic Search,Mobile,Home & Garden,At Risk,0.28,25-34
C00091,2023-12-06,Yorkshire,Email,Mobile,Beauty,At Risk,0.28,35-44
C00092,2021-08-27,London,Paid Search,Mobile,Sports,Hibernating,0.12,18-24
C00093,2024-06-30,Midlands,Direct,Mobile,Beauty,Lost,0.05,35-44
C00094,2024-11-10,London,Organic Search,Desktop,Sports,New,0.38,35-44
C00095,2024-07-21,Midlands,Organic Search,Mobile,Electronics,At Risk,0.28,18-24
C00096,2024-07-20,North West,Organic Search,Desktop,Home & Garden,Loyal,0.55,35-44
C00097,2021-03-08,Yorkshire,Email,Desktop,Home & Garden,New,0.38,35-44
C00098,2023-01-18,South East,Paid Search,Desktop,Home & Garden,Loyal,0.55,25-34
C00099,2023-05-27,Wales,Organic Search,Mobile,Electronics,At Risk,0.28,35-44
C00100,2024-10-05,South East,Organic Search,Desktop,Clothing,Loyal,0.55,35-44
C00101,2023-11-30,Wales,Direct,Mobile,Books,New,0.38,18-24
C00102,2021-04-28,London,Email,Tablet,Home & Garden,Loyal,0.55,35-44
C00103,2021-06-22,South East,Paid Search,Mobile,Home & Garden,New,0.38,25-34
C00104,2022-07-13,North East,Organic Search,Mobile,Books,New,0.38,25-34
C00105,2021-09-16,North West,Organic Search,Mobile,Toys,Champions,0.72,25-34
C00106,2021-11-17,London,Organic Search,Mobile,Home & Garden,Loyal,0.55,45-54
C00107,2024-01-24,Scotland,Referral,Mobile,Beauty,Lost,0.05,55+
C00108,2022-08-11,Wales,Social Media,Mobile,Beauty,At Risk,0.28,45-54
C00109,2024-06-06,London,Organic Search,Desktop,Home & Garden,Loyal,0.55,35-44
C00110,2021-05-12,Midlands,Email,Mobile,Beauty,At Risk,0.28,55+
C00111,2022-02-26,North West,Email,Mobile,Electronics,Hibernating,0.12,35-44
C00112,2023-04-01,Midlands,Organic Search,Tablet,Home & Garden,Lost,0.05,25-34
C00113,2023-11-05,Yorkshire,Social Media,Mobile,Toys,Lost,0.05,45-54
C00114,2023-10-18,North East,Organic Search,Mobile,Beauty,Loyal,0.55,45-54
C00115,2023-05-15,Midlands,Paid Search,Mobile,Home & Garden,Loyal,0.55,35-44
C00116,2024-07-08,North West,Social Media,Mobile,Home & Garden,Hibernating,0.12,35-44
C00117,2023-03-05,North West,Organic Search,Desktop,Home & Garden,Loyal,0.55,25-34
C00118,2023-03-26,Midlands,Direct,Mobile,Clothing,Loyal,0.55,25-34
C00119,2023-04-08,London,Direct,Desktop,Clothing,Hibernating,0.12,35-44
C00120,2023-10-06,Midlands,Paid Search,Desktop,Books,Hibernating,0.12,55+
C00121,2023-03-25,London,Organic Search,Desktop,Electronics,Loyal,0.55,25-34
C00122,2022-01-06,North West,Organic Search,Mobile,Sports,Hibernating,0.12,18-24
C00123,2023-07-26,North West,Direct,Tablet,Electronics,Loyal,0.55,35-44
C00124,2021-12-13,South East,Paid Search,Mobile,Clothing,At Risk,0.28,35-44
C00125,2022-12-11,South East,Social Media,Mobile,Clothing,Champions,0.72,25-34
C00126,2023-12-09,Wales,Organic Search,Mobile,Clothing,Loyal,0.55,55+
C00127,2022-07-15,South East,Paid Search,Mobile,Beauty,Loyal,0.55,25-34
C00128,2022-11-01,London,Paid Search,Mobile,Clothing,Loyal,0.55,45-54
C00129,2024-04-13,Midlands,Paid Search,Mobile,Beauty,Hibernating,0.12,18-24
C00130,2024-07-11,Wales,Paid Search,Mobile,Home & Garden,Lost,0.05,25-34
C00131,2021-03-28,Scotland,Direct,Mobile,Home & Garden,Lost,0.05,25-34
C00132,2022-03-19,Midlands,Paid Search,Mobile,Sports,Hibernating,0.12,35-44
C00133,2024-07-11,South East,Social Media,Desktop,Sports,Champions,0.72,25-34
C00134,2021-06-14,North West,Paid Search,Mobile,Home & Garden,Loyal,0.55,45-54
C00135,2024-01-14,South East,Email,Mobile,Sports,Champions,0.72,45-54
C00136,2023-01-16,North West,Organic Search,Desktop,Electronics,New,0.38,45-54
C00137,2023-06-24,South East,Direct,Desktop,Clothing,At Risk,0.28,45-54
C00138,2022-09-24,Yorkshire,Organic Search,Mobile,Home & Garden,Lost,0.05,45-54
C00139,2021-08-25,South East,Email,Mobile,Clothing,At Risk,0.28,55+
C00140,2022-09-02,London,Direct,Mobile,Home & Garden,Loyal,0.55,25-34
C00141,2023-11-07,Yorkshire,Social Media,Mobile,Clothing,At Risk,0.28,25-34
C00142,2024-08-03,Midlands,Email,Desktop,Clothing,Lost,0.05,55+
C00143,2023-07-11,North East,Paid Search,Mobile,Books,At Risk,0.28,25-34
C00144,2022-11-24,South East,Paid Search,Mobile,Electronics,Hibernating,0.12,45-54
C00145,2023-03-18,Wales,Paid Search,Tablet,Clothing,Hibernating,0.12,35-44
C00146,2023-01-21,Midlands,Organic Search,Mobile,Home & Garden,Loyal,0.55,25-34
C00147,2021-06-03,North West,Paid Search,Mobile,Beauty,At Risk,0.28,35-44
C00148,2021-01-25,Scotland,Social Media,Desktop,Clothing,Loyal,0.55,35-44
C00149,2021-10-02,Scotland,Referral,Desktop,Beauty,At Risk,0.28,35-44
C00150,2021-01-12,Scotland,Social Media,Desktop,Home & Garden,Hibernating,0.12,35-44
C00151,2022-12-11,Scotland,Email,Desktop,Clothing,Lost,0.05,35-44
C00152,2024-08-04,Wales,Organic Search,Mobile,Books,New,0.38,18-24
C00153,2022-09-21,South East,Organic Search,Mobile,Beauty,New,0.38,45-54
C00154,2022-01-07,South East,Social Media,Mobile,Home & Garden,New,0.38,25-34
C00155,2021-07-07,Scotland,Email,Mobile,Electronics,Hibernating,0.12,35-44
C00156,2022-05-12,South West,Social Media,Mobile,Electronics,Hibernating,0.12,45-54
C00157,2021-11-07,Wales,Organic Search,Mobile,Electronics,At Risk,0.28,55+
C00158,2023-11-29,London,Organic Search,Mobile,Electronics,Champions,0.72,35-44
C00159,2024-06-16,London,Paid Search,Mobile,Beauty,At Risk,0.28,18-24
C00160,2024-03-11,Scotland,Social Media,Desktop,Clothing,Loyal,0.55,55+
C00161,2022-08-08,North West,Organic Search,Tablet,Beauty,Loyal,0.55,25-34
C00162,2024-11-04,Scotland,Direct,Mobile,Home & Garden,At Risk,0.28,25-34
C00163,2022-07-18,North West,Social Media,Mobile,Sports,Champions,0.72,18-24
C00164,2024-02-05,South East,Organic Search,Desktop,Electronics,Loyal,0.55,18-24
C00165,2023-12-07,Yorkshire,Email,Mobile,Clothing,Loyal,0.55,35-44
C00166,2023-04-30,London,Social Media,Mobile,Clothing,New,0.38,35-44
C00167,2021-11-25,Scotland,Paid Search,Mobile,Clothing,Lost,0.05,35-44
C00168,2024-05-03,Scotland,Social Media,Desktop,Home & Garden,Lost,0.05,18-24
C00169,2023-09-11,London,Email,Mobile,Home & Garden,Loyal,0.55,55+
C00170,2023-08-31,Wales,Organic Search,Desktop,Home & Garden,Lost,0.05,55+
C00171,2024-09-08,South West,Email,Mobile,Sports,At Risk,0.28,45-54
C00172,2024-04-06,London,Organic Search,Mobile,Clothing,Loyal,0.55,55+
C00173,2021-12-22,North East,Organic Search,Desktop,Sports,Hibernating,0.12,18-24
C00174,2022-06-19,Scotland,Organic Search,Desktop,Clothing,Champions,0.72,35-44
C00175,2022-08-12,London,Organic Search,Desktop,Toys,Hibernating,0.12,35-44
C00176,2024-05-31,London,Social Media,Mobile,Electronics,At Risk,0.28,18-24
C00177,2024-06-10,North West,Email,Tablet,Clothing,Lost,0.05,55+
C00178,2022-04-29,South East,Social Media,Mobile,Home & Garden,Champions,0.72,25-34
C00179,2022-04-19,Scotland,Referral,Desktop,Electronics,Champions,0.72,35-44
C00180,2023-08-06,London,Organic Search,Mobile,Electronics,New,0.38,45-54
C00181,2022-07-24,London,Paid Search,Tablet,Clothing,Champions,0.72,45-54
C00182,2024-07-18,South West,Organic Search,Mobile,Beauty,New,0.38,35-44
C00183,2023-04-29,London,Social Media,Desktop,Sports,Lost,0.05,55+
C00184,2024-11-11,North West,Social Media,Desktop,Clothing,At Risk,0.28,45-54
C00185,2023-03-03,Scotland,Paid Search,Tablet,Clothing,At Risk,0.28,45-54
C00186,2024-08-25,Yorkshire,Email,Mobile,Beauty,Loyal,0.55,25-34
C00187,2022-01-13,Scotland,Paid Search,Mobile,Clothing,Hibernating,0.12,35-44
C00188,2022-06-05,Yorkshire,Organic Search,Desktop,Clothing,Loyal,0.55,45-54
C00189,2022-01-30,London,Paid Search,Desktop,Electronics,Lost,0.05,55+
C00190,2021-06-15,South West,Direct,Desktop,Clothing,Loyal,0.55,35-44
C00191,2024-01-17,London,Email,Mobile,Electronics,Loyal,0.55,25-34
C00192,2022-11-04,London,Paid Search,Mobile,Clothing,Hibernating,0.12,25-34
C00193,2022-08-12,North West,Organic Search,Mobile,Beauty,Champions,0.72,45-54
C00194,2023-09-21,South West,Referral,Mobile,Sports,Champions,0.72,35-44
C00195,2024-01-02,Midlands,Social Media,Desktop,Beauty,Champions,0.72,45-54
C00196,2024-09-03,Yorkshire,Email,Mobile,Home & Garden,Hibernating,0.12,45-54
C00197,2023-06-14,Yorkshire,Social Media,Mobile,Clothing,New,0.38,25-34
C00198,2023-06-28,Midlands,Paid Search,Mobile,Beauty,At Risk,0.28,45-54
C00199,2021-11-05,Yorkshire,Email,Desktop,Clothing,New,0.38,55+
C00200,2023-05-23,London,Paid Search,Mobile,Electronics,Hibernating,0.12,25-34
C00201,2023-06-22,Scotland,Social Media,Desktop,Electronics,At Risk,0.28,25-34
C00202,2024-10-19,Yorkshire,Email,Mobile,Home & Garden,New,0.38,18-24
C00203,2023-05-16,Scotland,Direct,Mobile,Clothing,Hibernating,0.12,35-44
C00204,2024-06-23,North West,Paid Search,Desktop,Clothing,At Risk,0.28,45-54
C00205,2021-04-10,London,Organic Search,Tablet,Clothing,Lost,0.05,45-54
C00206,2023-10-02,London,Paid Search,Desktop,Home & Garden,At Risk,0.28,35-44
C00207,2023-04-18,South East,Paid Search,Desktop,Clothing,New,0.38,35-44
C00208,2022-04-05,Wales,Paid Search,Mobile,Clothing,Loyal,0.55,25-34
C00209,2023-04-24,North West,Organic Search,Desktop,Beauty,New,0.38,25-34
C00210,2024-07-31,North East,Email,Mobile,Sports,Champions,0.72,45-54
C00211,2021-06-05,Midlands,Email,Mobile,Toys,Lost,0.05,18-24
C00212,2024-08-09,London,Organic Search,Mobile,Books,Lost,0.05,25-34
C00213,2023-10-06,South West,Paid Search,Mobile,Beauty,Hibernating,0.12,18-24
C00214,2021-08-05,Scotland,Paid Search,Mobile,Electronics,New,0.38,35-44
C00215,2021-05-31,South East,Social Media,Mobile,Home & Garden,Champions,0.72,55+
C00216,2021-05-09,London,Organic Search,Tablet,Clothing,New,0.38,35-44
C00217,2024-02-17,South West,Paid Search,Desktop,Sports,Lost,0.05,35-44
C00218,2022-08-11,Scotland,Direct,Desktop,Books,Loyal,0.55,45-54
C00219,2024-08-20,London,Email,Tablet,Clothing,New,0.38,55+
C00220,2024-01-18,North East,Email,Desktop,Sports,Lost,0.05,25-34
C00221,2022-05-09,North West,Direct,Desktop,Electronics,Lost,0.05,45-54
C00222,2024-09-29,South West,Paid Search,Desktop,Home & Garden,Loyal,0.55,35-44
C00223,2023-04-08,Midlands,Email,Mobile,Clothing,Hibernating,0.12,35-44
C00224,2023-08-26,Midlands,Paid Search,Mobile,Sports,New,0.38,35-44
C00225,2022-03-30,Scotland,Organic Search,Mobile,Home & Garden,Lost,0.05,25-34
C00226,2023-02-22,Midlands,Social Media,Desktop,Home & Garden,At Risk,0.28,45-54
C00227,2022-09-11,South West,Direct,Mobile,Books,Champions,0.72,18-24
C00228,2023-02-28,South East,Organic Search,Desktop,Home & Garden,At Risk,0.28,35-44
C00229,2023-01-21,Midlands,Organic Search,Desktop,Electronics,Hibernating,0.12,55+
C00230,2021-03-31,South East,Email,Mobile,Home & Garden,Loyal,0.55,45-54
C00231,2021-11-08,South East,Direct,Mobile,Clothing,New,0.38,45-54
C00232,2024-04-10,Midlands,Referral,Desktop,Sports,Champions,0.72,55+
C00233,2023-11-16,Midlands,Paid Search,Desktop,Books,Loyal,0.55,25-34
C00234,2024-03-23,South East,Social Media,Desktop,Home & Garden,Loyal,0.55,45-54
C00235,2023-07-04,Yorkshire,Email,Mobile,Beauty,Hibernating,0.12,45-54
C00236,2022-09-23,London,Paid Search,Mobile,Clothing,Hibernating,0.12,35-44
C00237,2023-08-27,Midlands,Paid Search,Tablet,Clothing,At Risk,0.28,35-44
C00238,2024-10-29,North East,Organic Search,Mobile,Sports,At Risk,0.28,35-44
C00239,2024-01-31,South East,Organic Search,Mobile,Sports,Hibernating,0.12,25-34
C00240,2022-10-10,North West,Email,Mobile,Sports,At Risk,0.28,35-44
C00241,2022-03-04,Midlands,Direct,Desktop,Home & Garden,Loyal,0.55,25-34
C00242,2024-07-06,London,Paid Search,Mobile,Toys,Loyal,0.55,25-34
C00243,2021-04-26,Midlands,Referral,Mobile,Beauty,Champions,0.72,25-34
C00244,2021-07-27,North West,Social Media,Mobile,Electronics,At Risk,0.28,55+
C00245,2022-05-30,South East,Paid Search,Mobile,Toys,Lost,0.05,55+
C00246,2021-12-30,South West,Organic Search,Mobile,Beauty,Loyal,0.55,45-54
C00247,2023-10-10,North East,Social Media,Mobile,Electronics,New,0.38,25-34
C00248,2021-12-27,Wales,Email,Mobile,Electronics,Champions,0.72,25-34
C00249,2024-05-04,London,Social Media,Mobile,Home & Garden,Lost,0.05,25-34
C00250,2021-01-12,London,Social Media,Mobile,Sports,Lost,0.05,45-54
C00251,2021-05-14,South East,Social Media,Mobile,Clothing,Loyal,0.55,25-34
C00252,2023-07-20,Wales,Email,Desktop,Clothing,At Risk,0.28,45-54
C00253,2021-06-13,London,Direct,Desktop,Electronics,Hibernating,0.12,55+
C00254,2023-06-21,North West,Organic Search,Mobile,Clothing,Loyal,0.55,55+
C00255,2023-11-02,North West,Paid Search,Mobile,Electronics,Lost,0.05,18-24
C00256,2022-01-25,London,Email,Mobile,Electronics,Champions,0.72,35-44
C00257,2023-02-17,Yorkshire,Social Media,Desktop,Electronics,Loyal,0.55,25-34
C00258,2024-01-28,North East,Organic Search,Mobile,Beauty,Champions,0.72,35-44
C00259,2023-02-24,South East,Organic Search,Desktop,Sports,Loyal,0.55,45-54
C00260,2023-02-07,North West,Paid Search,Desktop,Beauty,Loyal,0.55,45-54
C00261,2022-05-25,London,Paid Search,Desktop,Home & Garden,Loyal,0.55,35-44
C00262,2023-06-20,London,Organic Search,Tablet,Sports,Loyal,0.55,55+
C00263,2021-06-13,South East,Email,Mobile,Clothing,At Risk,0.28,18-24
C00264,2022-05-25,North West,Social Media,Mobile,Electronics,Loyal,0.55,25-34
C00265,2022-07-08,Scotland,Referral,Desktop,Electronics,New,0.38,35-44
C00266,2022-07-26,South East,Direct,Mobile,Beauty,Champions,0.72,45-54
C00267,2023-01-29,Scotland,Email,Desktop,Clothing,New,0.38,35-44
C00268,2022-04-12,Wales,Paid Search,Mobile,Clothing,Loyal,0.55,45-54
C00269,2024-11-09,London,Organic Search,Tablet,Beauty,Champions,0.72,25-34
C00270,2022-01-01,Wales,Direct,Desktop,Electronics,Lost,0.05,25-34
C00271,2023-02-12,North East,Organic Search,Mobile,Clothing,New,0.38,55+
C00272,2024-05-31,South East,Referral,Desktop,Clothing,New,0.38,25-34
C00273,2023-04-16,South West,Email,Mobile,Toys,New,0.38,45-54
C00274,2022-10-14,London,Paid Search,Tablet,Home & Garden,At Risk,0.28,35-44
C00275,2024-06-03,North West,Direct,Mobile,Electronics,Loyal,0.55,25-34
C00276,2021-05-04,London,Organic Search,Tablet,Home & Garden,At Risk,0.28,35-44
C00277,2021-04-23,South East,Social Media,Desktop,Sports,New,0.38,55+
C00278,2021-05-29,Yorkshire,Social Media,Desktop,Beauty,New,0.38,35-44
C00279,2021-07-22,North East,Organic Search,Mobile,Beauty,At Risk,0.28,18-24
C00280,2021-08-01,Scotland,Organic Search,Mobile,Sports,New,0.38,45-54
C00281,2022-02-25,Yorkshire,Organic Search,Mobile,Beauty,Hibernating,0.12,45-54
C00282,2024-10-22,North West,Organic Search,Mobile,Sports,Lost,0.05,45-54
C00283,2022-05-30,London,Paid Search,Desktop,Clothing,Lost,0.05,35-44
C00284,2021-10-29,South East,Paid Search,Desktop,Home & Garden,Hibernating,0.12,18-24
C00285,2022-08-25,Scotland,Organic Search,Desktop,Beauty,New,0.38,35-44
C00286,2023-10-12,Yorkshire,Organic Search,Mobile,Home & Garden,At Risk,0.28,45-54
C00287,2023-10-11,North West,Paid Search,Desktop,Clothing,Hibernating,0.12,35-44
C00288,2021-07-07,London,Email,Mobile,Home & Garden,New,0.38,18-24
C00289,2021-12-02,South West,Organic Search,Mobile,Home & Garden,Loyal,0.55,35-44
C00290,2024-04-26,Yorkshire,Organic Search,Mobile,Electronics,New,0.38,45-54
C00291,2023-09-25,Scotland,Email,Mobile,Clothing,Loyal,0.55,45-54
C00292,2022-04-26,South East,Email,Desktop,Toys,Champions,0.72,55+
C00293,2021-06-10,Midlands,Social Media,Mobile,Electronics,At Risk,0.28,45-54
C00294,2021-03-16,Wales,Organic Search,Mobile,Toys,New,0.38,25-34
C00295,2021-09-11,South West,Direct,Desktop,Clothing,Hibernating,0.12,45-54
C00296,2023-07-11,Scotland,Organic Search,Desktop,Electronics,Lost,0.05,35-44
C00297,2024-07-07,Scotland,Direct,Desktop,Clothing,Champions,0.72,18-24
C00298,2022-11-17,London,Social Media,Desktop,Books,Hibernating,0.12,18-24
C00299,2023-05-26,London,Organic Search,Mobile,Beauty,Champions,0.72,55+
C00300,2024-11-24,Yorkshire,Social Media,Mobile,Electronics,New,0.38,18-24
C00301,2022-08-19,Midlands,Paid Search,Mobile,Beauty,Hibernating,0.12,18-24
C00302,2024-11-23,South West,Referral,Mobile,Books,Champions,0.72,18-24
C00303,2022-05-07,Midlands,Paid Search,Tablet,Clothing,New,0.38,45-54
C00304,2023-09-11,South East,Direct,Tablet,Clothing,At Risk,0.28,18-24
C00305,2022-09-21,South East,Direct,Mobile,Home & Garden,Loyal,0.55,18-24
C00306,2024-10-09,Midlands,Social Media,Mobile,Home & Garden,At Risk,0.28,25-34
C00307,2022-09-02,London,Direct,Desktop,Home & Garden,Hibernating,0.12,35-44
C00308,2022-03-11,Midlands,Organic Search,Mobile,Sports,New,0.38,35-44
C00309,2021-08-31,South East,Organic Search,Mobile,Electronics,New,0.38,45-54
C00310,2021-08-02,London,Email,Mobile,Clothing,Champions,0.72,55+
C00311,2022-11-11,North East,Organic Search,Mobile,Electronics,Lost,0.05,55+
C00312,2024-01-26,Scotland,Paid Search,Mobile,Electronics,At Risk,0.28,18-24
C00313,2022-12-10,South East,Email,Mobile,Beauty,Lost,0.05,35-44
C00314,2024-01-01,North West,Direct,Mobile,Clothing,New,0.38,35-44
C00315,2024-07-15,Midlands,Paid Search,Desktop,Clothing,Loyal,0.55,35-44
C00316,2021-08-08,South East,Direct,Desktop,Clothing,Loyal,0.55,25-34
C00317,2023-08-24,Scotland,Organic Search,Desktop,Electronics,Lost,0.05,55+
C00318,2024-02-07,South West,Email,Mobile,Sports,Lost,0.05,25-34
C00319,2021-09-04,South West,Organic Search,Mobile,Sports,Loyal,0.55,25-34
C00320,2023-10-19,South East,Direct,Desktop,Home & Garden,New,0.38,45-54
C00321,2024-11-01,Scotland,Paid Search,Mobile,Electronics,At Risk,0.28,45-54
C00322,2022-04-21,South East,Organic Search,Mobile,Beauty,Hibernating,0.12,25-34
C00323,2022-06-30,Yorkshire,Social Media,Desktop,Home & Garden,At Risk,0.28,25-34
C00324,2023-04-17,Scotland,Organic Search,Mobile,Beauty,New,0.38,18-24
C00325,2022-04-28,London,Organic Search,Desktop,Clothing,New,0.38,45-54
C00326,2023-05-05,North West,Direct,Mobile,Electronics,Champions,0.72,18-24
C00327,2024-08-29,South West,Direct,Desktop,Beauty,At Risk,0.28,45-54
C00328,2023-04-25,South West,Direct,Mobile,Clothing,Lost,0.05,25-34
C00329,2022-07-12,Scotland,Email,Mobile,Toys,At Risk,0.28,18-24
C00330,2022-08-19,North West,Organic Search,Tablet,Clothing,Champions,0.72,45-54
C00331,2023-08-05,South West,Social Media,Tablet,Home & Garden,New,0.38,35-44
