cohort_month,period_number,n_customers,cohort_size,retention_rate
2021-12,7,2,27,7.4
2021-12,8,5,27,18.5
2021-12,9,1,27,3.7
2021-12,10,3,27,11.1
2021-12,11,5,27,18.5
2022-01,0,27,27,100.0
2022-01,1,2,27,7.4
2022-01,2,5,27,18.5
2022-01,3,3,27,11.1
2022-01,4,1,27,3.7
2022-01,5,2,27,7.4
2022-01,6,2,27,7.4
2022-01,7,3,27,11.1
2022-01,8,1,27,3.7
2022-01,9,3,27,11.1
2022-01,11,2,27,7.4
2022-02,0,20,20,100.0
2022-02,1,3,20,15.0
2022-02,2,1,20,5.0
2022-02,3,4,20,20.0
2022-02,4,3,20,15.0
2022-02,6,1,20,5.0
2022-02,9,3,20,15.0
2022-02,11,3,20,15.0
2022-03,0,39,39,100.0
2022-03,1,4,39,10.3
2022-03,2,1,39,2.6
2022-03,3,5,39,12.8
2022-03,4,4,39,10.3
2022-03,5,4,39,10.3
2022-03,6,3,39,7.7
2022-03,7,6,39,15.4
2022-03,8,6,39,15.4
2022-03,9,3,39,7.7
2022-03,10,4,39,10.3
2022-03,11,3,39,7.7
2022-04,0,23,23,100.0
2022-04,2,2,23,8.7
2022-04,4,1,23,4.3
2022-04,5,1,23,4.3
2022-04,6,1,23,4.3
2022-04,7,1,23,4.3
2022-04,8,1,23,4.3
2022-04,9,4,23,17.4
2022-04,10,1,23,4.3
2022-04,11,2,23,8.7
2022-05,0,23,23,100.0
2022-05,2,1,23,4.3
2022-05,4,2,23,8.7
2022-05,7,2,23,8.7
2022-05,8,2,23,8.7
2022-05,9,3,23,13.0
2022-05,10,2,23,8.7
2022-05,11,1,23,4.3
2022-06,0,34,34,100.0
2022-06,2,5,34,14.7
2022-06,3,3,34,8.8
2022-06,4,2,34,5.9
2022-06,5,3,34,8.8
2022-06,6,4,34,11.8
2022-06,7,2,34,5.9
2022-06,8,2,34,5.9
2022-06,9,3,34,8.8
2022-06,10,2,34,5.9
2022-06,11,5,34,14.7
2022-07,0,27,27,100.0
2022-07,1,4,27,14.8
2022-07,2,2,27,7.4
2022-07,3,2,27,7.4
2022-07,4,2,27,7.4
2022-07,5,4,27,14.8
2022-07,6,1,27,3.7
2022-07,7,2,27,7.4
2022-07,8,4,27,14.8
2022-07,9,2,27,7.4
2022-07,11,2,27,7.4
2022-08,0,36,36,100.0
2022-08,1,1,36,2.8
2022-08,2,1,36,2.8
2022-08,3,6,36,16.7
2022-08,4,2,36,5.6
2022-08,5,2,36,5.6
2022-08,6,1,36,2.8
2022-08,7,3,36,8.3
2022-08,9,4,36,11.1
2022-08,10,5,36,13.9
2022-08,11,6,36,16.7
2022-09,0,27,27,100.0
2022-09,1,3,27,11.1
2022-09,2,4,27,14.8
2022-09,4,2,27,7.4
2022-09,5,2,27,7.4
2022-09,6,2,27,7.4
2022-09,7,1,27,3.7
2022-09,8,2,27,7.4
2022-09,9,3,27,11.1
2022-09,10,1,27,3.7
2022-09,11,3,27,11.1
2022-10,0,24,24,100.0
2022-10,1,1,24,4.2
2022-10,2,1,24,4.2
2022-10,3,3,24,12.5
2022-10,4,1,24,4.2
2022-10,5,2,24,8.3
2022-10,6,4,24,16.7
2022-10,7,3,24,12.5
2022-10,8,3,24,12.5
2022-10,10,2,24,8.3
2022-10,11,1,24,4.2
2022-11,0,38,38,100.0
2022-11,1,4,38,10.5
2022-11,2,1,38,2.6
2022-11,3,7,38,18.4
2022-11,4,2,38,5.3
2022-11,5,7,38,18.4
2022-11,6,1,38,2.6
2022-11,7,4,38,10.5
2022-11,8,5,38,13.2
2022-11,9,5,38,13.2
2022-11,10,4,38,10.5
2022-11,11,5,38,13.2
2022-12,0,42,42,100.0
2022-12,1,1,42,2.4
2022-12,2,4,42,9.5
2022-12,3,5,42,11.9
2022-12,4,3,42,7.1
2022-12,5,4,42,9.5
2022-12,6,3,42,7.1
2022-12,7,2,42,4.8
2022-12,8,2,42,4.8
2022-12,9,2,42,4.8
2022-12,10,3,42,7.1
2022-12,11,4,42,9.5
2023-01,0,32,32,100.0
2023-01,1,4,32,12.5
2023-01,2,2,32,6.2
2023-01,3,9,32,28.1
2023-01,4,3,32,9.4
2023-01,5,5,32,15.6
2023-01,6,4,32,12.5
2023-01,7,5,32,15.6
2023-01,8,4,32,12.5
2023-01,9,4,32,12.5
2023-01,10,4,32,12.5
2023-01,11,2,32,6.2
2023-02,0,32,32,100.0
2023-02,1,4,32,12.5
2023-02,2,4,32,12.5
2023-02,3,4,32,12.5
2023-02,4,2,32,6.2
2023-02,5,4,32,12.5
2023-02,6,4,32,12.5
2023-02,7,3,32,9.4
2023-02,8,5,32,15.6
2023-02,9,3,32,9.4
2023-02,10,9,32,28.1
2023-02,11,2,32,6.2
2023-03,0,34,34,100.0
2023-03,1,4,34,11.8
2023-03,2,2,34,5.9
2023-03,3,6,34,17.6
2023-03,4,6,34,17.6
2023-03,5,3,34,8.8
2023-03,6,7,34,20.6
2023-03,7,2,34,5.9
2023-03,9,2,34,5.9
2023-03,10,5,34,14.7
2023-03,11,4,34,11.8
2023-04,0,42,42,100.0
2023-04,1,3,42,7.1
2023-04,2,4,42,9.5
2023-04,3,8,42,19.0
2023-04,4,8,42,19.0
2023-04,5,7,42,16.7
2023-04,6,4,42,9.5
2023-04,7,3,42,7.1
2023-04,8,2,42,4.8
2023-04,9,8,42,19.0
2023-04,10,3,42,7.1
2023-04,11,3,42,7.1
2023-05,0,44,44,100.0
2023-05,1,3,44,6.8
2023-05,2,3,44,6.8
2023-05,3,7,44,15.9
2023-05,4,6,44,13.6
2023-05,5,5,44,11.4
2023-05,6,4,44,9.1
2023-05,7,4,44,9.1
2023-05,8,6,44,13.6
2023-05,9,4,44,9.1
2023-05,10,4,44,9.1
2023-05,11,7,44,15.9
2023-06,0,41,41,100.0
2023-06,1,5,41,12.2
2023-06,2,6,41,14.6
2023-06,3,6,41,14.6
2023-06,4,5,41,12.2
2023-06,5,3,41,7.3
2023-06,6,2,41,4.9
2023-06,7,10,41,24.4
2023-06,8,2,41,4.9
2023-06,9,5,41,12.2
2023-06,10,4,41,9.8
2023-06,11,5,41,12.2
2023-07,0,44,44,100.0
2023-07,1,7,44,15.9
2023-07,2,8,44,18.2
2023-07,3,5,44,11.4
2023-07,4,5,44,11.4
2023-07,5,3,44,6.8
2023-07,6,5,44,11.4
2023-07,7,4,44,9.1
2023-07,8,7,44,15.9
2023-07,9,3,44,6.8
2023-07,10,3,44,6.8
2023-07,11,6,44,13.6
2023-08,0,38,38,100.0
2023-08,1,5,38,13.2
2023-08,2,8,38,21.1
2023-08,3,3,38,7.9
2023-08,4,6,38,15.8
2023-08,5,5,38,13.2
2023-08,6,6,38,15.8
2023-08,7,3,38,7.9
2023-08,8,4,38,10.5
2023-08,9,2,38,5.3
2023-08,10,6,38,15.8
2023-08,11,6,38,15.8
2023-09,0,40,40,100.0
2023-09,1,5,40,12.5
2023-09,2,7,40,17.5
2023-09,3,8,40,20.0
2023-09,4,5,40,12.5
2023-09,5,4,40,10.0
2023-09,6,6,40,15.0
2023-09,7,6,40,15.0
2023-09,8,6,40,15.0
2023-09,9,8,40,20.0
2023-09,10,5,40,12.5
2023-09,11,4,40,10.0
2023-10,0,50,50,100.0
2023-10,1,4,50,8.0
2023-10,2,5,50,10.0
2023-10,3,12,50,24.0
2023-10,4,11,50,22.0
2023-10,5,14,50,28.0
2023-10,6,8,50,16.0
2023-10,7,8,50,16.0
2023-10,8,6,50,12.0
2023-10,9,9,50,18.0
2023-10,10,8,50,16.0
2023-10,11,4,50,8.0
2023-11,0,40,40,100.0
2023-11,1,2,40,5.0
2023-11,2,3,40,7.5
2023-11,3,9,40,22.5
2023-11,4,3,40,7.5
2023-11,5,5,40,12.5
2023-11,6,7,40,17.5
2023-11,7,4,40,10.0
2023-11,8,6,40,15.0
2023-11,9,3,40,7.5
2023-11,10,4,40,10.0
2023-11,11,11,40,27.5
2023-12,0,58,58,100.0
2023-12,1,7,58,12.1
2023-12,2,5,58,8.6
2023-12,3,11,58,19.0
2023-12,4,10,58,17.2
2023-12,5,11,58,19.0
2023-12,6,7,58,12.1
2023-12,7,6,58,10.3
2023-12,8,9,58,15.5
2023-12,9,8,58,13.8
2023-12,10,12,58,20.7
2023-12,11,9,58,15.5
2024-01,0,47,47,100.0
2024-01,1,12,47,25.5
2024-01,2,5,47,10.6
2024-01,3,11,47,23.4
2024-01,4,9,47,19.1
2024-01,5,7,47,14.9
2024-01,6,5,47,10.6
2024-01,7,10,47,21.3
2024-01,8,3,47,6.4
2024-01,9,9,47,19.1
2024-01,10,7,47,14.9
2024-01,11,9,47,19.1
2024-02,0,47,47,100.0
2024-02,1,8,47,17.0
2024-02,2,9,47,19.1
2024-02,3,14,47,29.8
2024-02,4,7,47,14.9
2024-02,5,8,47,17.0
2024-02,6,10,47,21.3
2024-02,7,10,47,21.3
2024-02,8,9,47,19.1
2024-02,9,9,47,19.1
2024-02,10,11,47,23.4
2024-03,0,45,45,100.0
2024-03,1,11,45,24.4
2024-03,2,4,45,8.9
2024-03,3,13,45,28.9
2024-03,4,6,45,13.3
2024-03,5,15,45,33.3
2024-03,6,11,45,24.4
2024-03,7,13,45,28.9
2024-03,8,10,45,22.2
2024-03,9,5,45,11.1
2024-04,0,52,52,100.0
2024-04,1,10,52,19.2
2024-04,2,8,52,15.4
2024-04,3,14,52,26.9
2024-04,4,13,52,25.0
2024-04,5,8,52,15.4
2024-04,6,15,52,28.8
2024-04,7,13,52,25.0
2024-04,8,9,52,17.3
2024-05,0,53,53,100.0
2024-05,1,5,53,9.4
2024-05,2,17,53,32.1
2024-05,3,11,53,20.8
2024-05,4,6,53,11.3
2024-05,5,10,53,18.9
2024-05,6,13,53,24.5
2024-05,7,11,53,20.8
2024-06,0,63,63,100.0
2024-06,1,24,63,38.1
2024-06,2,14,63,22.2
2024-06,3,17,63,27.0
2024-06,4,19,63,30.2
2024-06,5,18,63,28.6
2024-06,6,11,63,17.5
2024-07,0,53,53,100.0
2024-07,1,16,53,30.2
2024-07,2,14,53,26.4
2024-07,3,15,53,28.3
2024-07,4,11,53,20.8
2024-07,5,14,53,26.4
2024-08,0,62,62,100.0
2024-08,1,24,62,38.7
2024-08,2,19,62,30.6
2024-08,3,14,62,22.6
2024-08,4,23,62,37.1
2024-09,0,51,51,100.0
2024-09,1,20,51,39.2
2024-09,2,20,51,39.2
2024-09,3,17,51,33.3
2024-10,0,64,64,100.0
2024-10,1,20,64,31.2
2024-10,2,29,64,45.3
2024-11,0,70,70,100.0
2024-11,1,38,70,54.3
2024-12,0,50,50,100.0
