order_id,customer_id,order_date,year,month,quarter,category,quantity,unit_price,discount_pct,revenue,channel,device,region,is_repeat,order_month,first_order
O0000034,C00013,2023-11-28,2023,11,Q4,Beauty,2,61.75,0.22,96.33,Paid Search,Mobile,London,1,2023-11,2023-11-28
O0000035,C00013,2024-06-11,2024,6,Q2,Clothing,1,21.99,0.22,17.15,Paid Search,Mobile,London,1,2024-06,2024-06-11
O0000036,C00013,2024-07-21,2024,7,Q3,Beauty,1,46.14,0.0,46.14,Paid Search,Mobile,London,1,2024-07,2024-07-21
O0000037,C00014,2023-11-14,2023,11,Q4,Clothing,1,104.7,0.19,84.81,Social Media,Desktop,Wales,0,2023-11,2023-11-14
O0000038,C00014,2024-08-28,2024,8,Q3,Clothing,2,55.02,0.0,110.05,Social Media,Desktop,Wales,1,2024-08,2024-08-28
O0000039,C00014,2024-10-04,2024,10,Q4,Clothing,1,54.83,0.24,41.67,Social Media,Desktop,Wales,1,2024-10,2024-10-04
O0000040,C00015,2023-12-26,2023,12,Q4,Clothing,3,116.02,0.0,348.06,Organic Search,Mobile,North West,0,2023-12,2023-12-26
O0000041,C00015,2024-12-27,2024,12,Q4,Electronics,1,210.97,0.05,200.42,Organic Search,Mobile,North West,1,2024-12,2024-12-27
O0000042,C00016,2023-07-04,2023,7,Q3,Home & Garden,1,88.0,0.05,83.6,Organic Search,Desktop,South West,0,2023-07,2023-07-04
O0000043,C00016,2024-02-07,2024,2,Q1,Books,4,13.54,0.0,54.14,Organic Search,Desktop,South West,1,2024-02,2024-02-07
O0000044,C00017,2022-07-25,2022,7,Q3,Sports,3,41.34,0.02,121.54,Organic Search,Tablet,South East,0,2022-07,2022-07-25
O0000045,C00017,2022-12-28,2022,12,Q4,Home & Garden,4,114.3,0.0,457.19,Organic Search,Tablet,South East,1,2022-12,2022-12-28
O0000046,C00017,2023-09-14,2023,9,Q3,Clothing,3,46.55,0.07,129.86,Organic Search,Tablet,South East,1,2023-09,2023-09-14
O0000047,C00017,2024-04-08,2024,4,Q2,Sports,3,39.21,0.0,117.62,Organic Search,Tablet,South East,1,2024-04,2024-04-08
O0000048,C00020,2023-07-24,2023,7,Q3,Beauty,2,28.54,0.0,57.08,Organic Search,Mobile,North West,0,2023-07,2023-07-24
O0000049,C00020,2024-04-12,2024,4,Q2,Electronics,2,161.77,0.0,323.55,Organic Search,Mobile,North West,1,2024-04,2024-04-12
O0000050,C00021,2024-11-15,2024,11,Q4,Clothing,1,40.34,0.0,40.34,Paid Search,Mobile,Midlands,0,2024-11,2024-11-15
O0000051,C00021,2024-11-30,2024,11,Q4,Clothing,4,60.54,0.0,242.17,Paid Search,Mobile,Midlands,1,2024-11,2024-11-30
O0000052,C00021,2024-12-06,2024,12,Q4,Sports,3,92.99,0.0,278.98,Paid Search,Mobile,Midlands,1,2024-12,2024-12-06
O0000053,C00021,2024-12-13,2024,12,Q4,Clothing,1,97.88,0.1,88.09,Paid Search,Mobile,Midlands,1,2024-12,2024-12-13
O0000054,C00021,2024-12-15,2024,12,Q4,Clothing,3,87.58,0.0,262.74,Paid Search,Mobile,Midlands,1,2024-12,2024-12-15
O0000055,C00021,2024-12-16,2024,12,Q4,Clothing,3,94.67,0.15,241.4,Paid Search,Mobile,Midlands,1,2024-12,2024-12-16
O0000056,C00021,2024-12-17,2024,12,Q4,Clothing,4,112.61,0.05,427.9,Paid Search,Mobile,Midlands,1,2024-12,2024-12-17
O0000057,C00021,2024-12-21,2024,12,Q4,Sports,4,111.3,0.0,445.22,Paid Search,Mobile,Midlands,1,2024-12,2024-12-21
O0000058,C00022,2024-12-07,2024,12,Q4,Toys,4,39.66,0.0,158.64,Referral,Mobile,London,0,2024-12,2024-12-07
O0000059,C00022,2024-12-10,2024,12,Q4,Electronics,3,190.67,0.13,497.65,Referral,Mobile,London,1,2024-12,2024-12-10
O0000060,C00022,2024-12-15,2024,12,Q4,Toys,4,59.99,0.18,196.75,Referral,Mobile,London,1,2024-12,2024-12-15
O0000061,C00023,2023-10-16,2023,10,Q4,Electronics,4,103.31,0.22,322.33,Organic Search,Mobile,Scotland,0,2023-10,2023-10-16
O0000062,C00023,2024-03-29,2024,3,Q1,Electronics,3,142.13,0.0,426.38,Organic Search,Mobile,Scotland,1,2024-03,2024-03-29
O0000063,C00023,2024-03-30,2024,3,Q1,Books,4,15.95,0.0,63.8,Organic Search,Mobile,Scotland,1,2024-03,2024-03-30
O0000064,C00024,2022-01-24,2022,1,Q1,Electronics,1,149.29,0.13,129.88,Organic Search,Desktop,North East,0,2022-01,2022-01-24
O0000065,C00024,2022-03-27,2022,3,Q1,Electronics,4,142.81,0.13,496.97,Organic Search,Desktop,North East,1,2022-03,2022-03-27
O0000066,C00024,2023-06-06,2023,6,Q2,Beauty,2,38.38,0.0,76.76,Organic Search,Desktop,North East,1,2023-06,2023-06-06
O0000067,C00024,2024-07-31,2024,7,Q3,Clothing,2,69.48,0.17,115.33,Organic Search,Desktop,North East,1,2024-07,2024-07-31
O0000068,C00025,2024-01-16,2024,1,Q1,Home & Garden,4,39.95,0.13,139.01,Social Media,Mobile,Scotland,0,2024-01,2024-01-16
O0000069,C00025,2024-02-25,2024,2,Q1,Beauty,1,43.71,0.21,34.53,Social Media,Mobile,Scotland,1,2024-02,2024-02-25
O0000070,C00025,2024-08-25,2024,8,Q3,Home & Garden,2,6.6,0.0,13.2,Social Media,Mobile,Scotland,1,2024-08,2024-08-25
O0000071,C00026,2024-05-04,2024,5,Q2,Electronics,2,171.12,0.0,342.24,Social Media,Desktop,South East,0,2024-05,2024-05-04
O0000072,C00027,2023-06-25,2023,6,Q2,Home & Garden,2,90.19,0.01,178.57,Direct,Mobile,North West,0,2023-06,2023-06-25
O0000073,C00027,2024-01-18,2024,1,Q1,Electronics,2,133.05,0.0,266.1,Direct,Mobile,North West,1,2024-01,2024-01-18
O0000074,C00029,2023-08-20,2023,8,Q3,Home & Garden,1,97.79,0.0,97.79,Direct,Desktop,London,0,2023-08,2023-08-20
O0000075,C00029,2024-01-14,2024,1,Q1,Home & Garden,4,61.3,0.0,245.22,Direct,Desktop,London,1,2024-01,2024-01-14
O0000076,C00029,2024-06-28,2024,6,Q2,Beauty,4,40.68,0.18,133.42,Direct,Desktop,London,1,2024-06,2024-06-28
O0000077,C00029,2024-10-24,2024,10,Q4,Home & Garden,1,86.38,0.0,86.38,Direct,Desktop,London,1,2024-10,2024-10-24
O0000078,C00029,2024-12-21,2024,12,Q4,Home & Garden,3,128.64,0.0,385.93,Direct,Desktop,London,1,2024-12,2024-12-21
O0000079,C00030,2024-04-27,2024,4,Q2,Sports,2,54.18,0.0,108.35,Direct,Mobile,Scotland,0,2024-04,2024-04-27
O0000080,C00030,2024-08-11,2024,8,Q3,Home & Garden,2,37.05,0.0,74.09,Direct,Mobile,Scotland,1,2024-08,2024-08-11
O0000081,C00030,2024-10-15,2024,10,Q4,Sports,2,43.26,0.0,86.52,Direct,Mobile,Scotland,1,2024-10,2024-10-15
O0000082,C00030,2024-11-29,2024,11,Q4,Sports,4,58.0,0.03,225.03,Direct,Mobile,Scotland,1,2024-11,2024-11-29
O0000083,C00032,2022-03-13,2022,3,Q1,Clothing,2,50.86,0.0,101.72,Referral,Mobile,Yorkshire,0,2022-03,2022-03-13
O0000084,C00033,2023-10-07,2023,10,Q4,Electronics,2,149.59,0.01,296.19,Social Media,Desktop,South West,0,2023-10,2023-10-07
O0000085,C00033,2024-10-17,2024,10,Q4,Beauty,1,41.26,0.0,41.26,Social Media,Desktop,South West,1,2024-10,2024-10-17
O0000086,C00034,2023-10-04,2023,10,Q4,Home & Garden,1,86.99,0.0,86.99,Referral,Mobile,South East,0,2023-10,2023-10-04
O0000087,C00034,2024-04-11,2024,4,Q2,Sports,3,21.08,0.12,55.65,Referral,Mobile,South East,1,2024-04,2024-04-11
O0000088,C00034,2024-06-20,2024,6,Q2,Sports,2,69.97,0.0,139.93,Referral,Mobile,South East,1,2024-06,2024-06-20
O0000089,C00035,2022-03-02,2022,3,Q1,Clothing,2,53.95,0.16,90.63,Email,Desktop,South West,0,2022-03,2022-03-02
O0000090,C00035,2022-08-06,2022,8,Q3,Clothing,2,49.93,0.23,76.89,Email,Desktop,South West,1,2022-08,2022-08-06
O0000091,C00035,2022-10-31,2022,10,Q4,Clothing,3,91.77,0.0,275.3,Email,Desktop,South West,1,2022-10,2022-10-31
O0000092,C00036,2022-11-10,2022,11,Q4,Clothing,1,104.51,0.0,104.51,Referral,Mobile,London,0,2022-11,2022-11-10
O0000093,C00036,2023-12-09,2023,12,Q4,Beauty,4,59.09,0.0,236.34,Referral,Mobile,London,1,2023-12,2023-12-09
O0000094,C00036,2024-07-19,2024,7,Q3,Electronics,3,157.87,0.2,378.88,Referral,Mobile,London,1,2024-07,2024-07-19
O0000095,C00038,2023-12-27,2023,12,Q4,Electronics,1,185.14,0.0,185.14,Paid Search,Mobile,South East,0,2023-12,2023-12-27
O0000096,C00038,2024-01-22,2024,1,Q1,Clothing,2,88.91,0.18,145.82,Paid Search,Mobile,South East,1,2024-01,2024-01-22
O0000097,C00038,2024-08-27,2024,8,Q3,Electronics,4,48.23,0.0,192.91,Paid Search,Mobile,South East,1,2024-08,2024-08-27
O0000098,C00038,2024-11-16,2024,11,Q4,Home & Garden,4,117.79,0.0,471.15,Paid Search,Mobile,South East,1,2024-11,2024-11-16
O0000099,C00039,2024-09-20,2024,9,Q3,Electronics,2,179.91,0.07,334.63,Email,Tablet,London,0,2024-09,2024-09-20
O0000100,C00040,2024-12-07,2024,12,Q4,Home & Garden,4,104.61,0.0,418.44,Organic Search,Desktop,Scotland,0,2024-12,2024-12-07
O0000101,C00040,2024-12-22,2024,12,Q4,Home & Garden,1,94.4,0.0,94.4,Organic Search,Desktop,Scotland,1,2024-12,2024-12-22
O0000102,C00041,2023-08-10,2023,8,Q3,Home & Garden,1,38.7,0.0,38.7,Direct,Mobile,Scotland,0,2023-08,2023-08-10
O0000103,C00042,2022-06-10,2022,6,Q2,Clothing,2,41.19,0.0,82.37,Organic Search,Desktop,North West,0,2022-06,2022-06-10
O0000104,C00042,2022-08-21,2022,8,Q3,Clothing,2,48.73,0.0,97.46,Organic Search,Desktop,North West,1,2022-08,2022-08-21
O0000105,C00042,2022-10-10,2022,10,Q4,Clothing,2,66.16,0.0,132.33,Organic Search,Desktop,North West,1,2022-10,2022-10-10
O0000106,C00042,2024-03-23,2024,3,Q1,Electronics,2,60.53,0.0,121.07,Organic Search,Desktop,North West,1,2024-03,2024-03-23
O0000107,C00042,2024-05-17,2024,5,Q2,Clothing,3,51.05,0.0,153.14,Organic Search,Desktop,North West,1,2024-05,2024-05-17
O0000108,C00043,2023-06-29,2023,6,Q2,Clothing,1,55.13,0.24,41.9,Organic Search,Tablet,North West,0,2023-06,2023-06-29
O0000109,C00043,2023-09-30,2023,9,Q3,Sports,4,37.09,0.0,148.36,Organic Search,Tablet,North West,1,2023-09,2023-09-30
O0000110,C00043,2024-01-03,2024,1,Q1,Sports,3,39.11,0.0,117.32,Organic Search,Tablet,North West,1,2024-01,2024-01-03
O0000111,C00043,2024-07-24,2024,7,Q3,Clothing,1,58.89,0.06,55.35,Organic Search,Tablet,North West,1,2024-07,2024-07-24
O0000112,C00044,2022-01-29,2022,1,Q1,Home & Garden,3,37.16,0.0,111.47,Paid Search,Mobile,Scotland,0,2022-01,2022-01-29
O0000113,C00044,2022-08-03,2022,8,Q3,Home & Garden,1,99.36,0.0,99.36,Paid Search,Mobile,Scotland,1,2022-08,2022-08-03
O0000114,C00044,2022-12-25,2022,12,Q4,Home & Garden,3,157.2,0.14,405.58,Paid Search,Mobile,Scotland,1,2022-12,2022-12-25
O0000115,C00044,2023-05-25,2023,5,Q2,Clothing,3,34.79,0.0,104.36,Paid Search,Mobile,Scotland,1,2023-05,2023-05-25
O0000116,C00044,2023-07-01,2023,7,Q3,Clothing,3,43.33,0.0,129.99,Paid Search,Mobile,Scotland,1,2023-07,2023-07-01
O0000117,C00046,2023-08-18,2023,8,Q3,Beauty,3,44.16,0.0,132.47,Paid Search,Mobile,Wales,0,2023-08,2023-08-18
O0000118,C00046,2024-08-31,2024,8,Q3,Beauty,1,38.06,0.0,38.06,Paid Search,Mobile,Wales,1,2024-08,2024-08-31
O0000119,C00046,2024-10-31,2024,10,Q4,Beauty,1,61.08,0.0,61.08,Paid Search,Mobile,Wales,1,2024-10,2024-10-31
O0000120,C00046,2024-12-14,2024,12,Q4,Toys,4,67.93,0.21,214.67,Paid Search,Mobile,Wales,1,2024-12,2024-12-14
O0000121,C00047,2024-01-05,2024,1,Q1,Beauty,2,41.88,0.0,83.76,Referral,Desktop,London,0,2024-01,2024-01-05
O0000122,C00047,2024-02-17,2024,2,Q1,Sports,4,39.94,0.2,127.8,Referral,Desktop,London,1,2024-02,2024-02-17
O0000123,C00047,2024-03-03,2024,3,Q1,Beauty,3,53.6,0.24,122.22,Referral,Desktop,London,1,2024-03,2024-03-03
O0000124,C00047,2024-06-30,2024,6,Q2,Beauty,3,40.62,0.0,121.86,Referral,Desktop,London,1,2024-06,2024-06-30
O0000125,C00047,2024-10-26,2024,10,Q4,Beauty,4,55.23,0.0,220.92,Referral,Desktop,London,1,2024-10,2024-10-26
O0000126,C00047,2024-11-08,2024,11,Q4,Beauty,3,44.83,0.0,134.49,Referral,Desktop,London,1,2024-11,2024-11-08
O0000127,C00049,2024-10-27,2024,10,Q4,Electronics,2,199.86,0.0,399.73,Email,Desktop,North East,0,2024-10,2024-10-27
O0000128,C00050,2024-03-08,2024,3,Q1,Beauty,2,47.54,0.0,95.07,Organic Search,Mobile,North West,0,2024-03,2024-03-08
O0000129,C00050,2024-03-16,2024,3,Q1,Beauty,1,32.45,0.05,30.83,Organic Search,Mobile,North West,1,2024-03,2024-03-16
O0000130,C00050,2024-06-06,2024,6,Q2,Electronics,1,116.72,0.0,116.72,Organic Search,Mobile,North West,1,2024-06,2024-06-06
O0000131,C00050,2024-08-31,2024,8,Q3,Home & Garden,1,78.14,0.0,78.14,Organic Search,Mobile,North West,1,2024-08,2024-08-31
O0000132,C00050,2024-11-06,2024,11,Q4,Electronics,4,227.64,0.17,755.76,Organic Search,Mobile,North West,1,2024-11,2024-11-06
O0000133,C00051,2022-12-22,2022,12,Q4,Books,2,41.02,0.0,82.04,Paid Search,Mobile,London,0,2022-12,2022-12-22
O0000134,C00051,2023-12-25,2023,12,Q4,Clothing,4,88.68,0.15,301.51,Paid Search,Mobile,London,1,2023-12,2023-12-25
O0000135,C00052,2021-04-20,2021,4,Q2,Electronics,2,154.03,0.0,308.06,Direct,Mobile,Wales,0,2021-04,2021-04-20
O0000136,C00052,2021-11-22,2021,11,Q4,Clothing,3,99.21,0.2,238.11,Direct,Mobile,Wales,1,2021-11,2021-11-22
O0000137,C00052,2021-11-26,2021,11,Q4,Clothing,3,56.94,0.0,170.81,Direct,Mobile,Wales,1,2021-11,2021-11-26
O0000138,C00052,2022-03-02,2022,3,Q1,Beauty,4,57.33,0.0,229.3,Direct,Mobile,Wales,1,2022-03,2022-03-02
O0000139,C00052,2023-02-01,2023,2,Q1,Clothing,3,64.34,0.0,193.03,Direct,Mobile,Wales,1,2023-02,2023-02-01
O0000140,C00052,2023-11-20,2023,11,Q4,Sports,4,60.88,0.04,233.8,Direct,Mobile,Wales,1,2023-11,2023-11-20
O0000141,C00052,2023-11-22,2023,11,Q4,Electronics,3,200.85,0.01,596.52,Direct,Mobile,Wales,1,2023-11,2023-11-22
O0000142,C00052,2024-06-17,2024,6,Q2,Home & Garden,3,71.77,0.09,195.92,Direct,Mobile,Wales,1,2024-06,2024-06-17
O0000143,C00053,2023-02-10,2023,2,Q1,Home & Garden,3,65.46,0.01,194.41,Email,Tablet,South West,0,2023-02,2023-02-10
O0000144,C00053,2023-09-09,2023,9,Q3,Books,1,20.96,0.0,20.96,Email,Tablet,South West,1,2023-09,2023-09-09
O0000145,C00053,2023-12-11,2023,12,Q4,Books,4,31.08,0.0,124.3,Email,Tablet,South West,1,2023-12,2023-12-11
O0000146,C00054,2022-10-21,2022,10,Q4,Electronics,1,82.02,0.0,82.02,Paid Search,Desktop,Midlands,0,2022-10,2022-10-21
O0000147,C00055,2024-07-29,2024,7,Q3,Clothing,4,82.39,0.12,290.01,Direct,Mobile,Wales,0,2024-07,2024-07-29
O0000148,C00055,2024-09-29,2024,9,Q3,Clothing,4,47.32,0.0,189.27,Direct,Mobile,Wales,1,2024-09,2024-09-29
O0000149,C00055,2024-10-11,2024,10,Q4,Clothing,3,89.84,0.0,269.52,Direct,Mobile,Wales,1,2024-10,2024-10-11
O0000150,C00055,2024-10-28,2024,10,Q4,Clothing,4,48.59,0.11,172.99,Direct,Mobile,Wales,1,2024-10,2024-10-28
O0000151,C00056,2024-07-11,2024,7,Q3,Beauty,3,42.24,0.19,102.64,Organic Search,Mobile,South West,0,2024-07,2024-07-11
O0000152,C00056,2024-07-26,2024,7,Q3,Clothing,4,52.45,0.0,209.79,Organic Search,Mobile,South West,1,2024-07,2024-07-26
O0000153,C00056,2024-08-15,2024,8,Q3,Sports,3,63.67,0.1,171.92,Organic Search,Mobile,South West,1,2024-08,2024-08-15
O0000154,C00056,2024-09-03,2024,9,Q3,Home & Garden,4,74.49,0.1,268.15,Organic Search,Mobile,South West,1,2024-09,2024-09-03
O0000155,C00056,2024-09-22,2024,9,Q3,Sports,1,43.62,0.06,41.01,Organic Search,Mobile,South West,1,2024-09,2024-09-22
O0000156,C00056,2024-11-09,2024,11,Q4,Sports,4,72.59,0.0,290.34,Organic Search,Mobile,South West,1,2024-11,2024-11-09
O0000157,C00056,2024-11-13,2024,11,Q4,Sports,1,77.3,0.0,77.3,Organic Search,Mobile,South West,1,2024-11,2024-11-13
O0000158,C00056,2024-11-24,2024,11,Q4,Home & Garden,4,96.72,0.0,386.87,Organic Search,Mobile,South West,1,2024-11,2024-11-24
O0000159,C00056,2024-11-27,2024,11,Q4,Books,1,29.93,0.0,29.93,Organic Search,Mobile,South West,1,2024-11,2024-11-27
O0000160,C00057,2023-05-13,2023,5,Q2,Books,2,16.66,0.0,33.32,Email,Mobile,Yorkshire,0,2023-05,2023-05-13
O0000161,C00057,2023-08-28,2023,8,Q3,Books,4,13.67,0.12,48.13,Email,Mobile,Yorkshire,1,2023-08,2023-08-28
O0000162,C00057,2024-01-11,2024,1,Q1,Books,1,25.34,0.0,25.34,Email,Mobile,Yorkshire,1,2024-01,2024-01-11
O0000163,C00057,2024-12-22,2024,12,Q4,Books,1,41.1,0.0,41.1,Email,Mobile,Yorkshire,1,2024-12,2024-12-22
O0000164,C00058,2023-04-05,2023,4,Q2,Sports,1,66.73,0.0,66.73,Organic Search,Desktop,South East,0,2023-04,2023-04-05
O0000165,C00059,2023-10-22,2023,10,Q4,Clothing,4,86.0,0.0,344.01,Direct,Mobile,Midlands,0,2023-10,2023-10-22
O0000166,C00059,2024-01-16,2024,1,Q1,Clothing,1,65.59,0.0,65.59,Direct,Mobile,Midlands,1,2024-01,2024-01-16
O0000167,C00059,2024-03-30,2024,3,Q1,Toys,2,13.15,0.0,26.29,Direct,Mobile,Midlands,1,2024-03,2024-03-30
O0000168,C00059,2024-05-16,2024,5,Q2,Clothing,1,96.59,0.0,96.59,Direct,Mobile,Midlands,1,2024-05,2024-05-16
O0000169,C00059,2024-06-20,2024,6,Q2,Home & Garden,2,50.36,0.0,100.73,Direct,Mobile,Midlands,1,2024-06,2024-06-20
O0000170,C00060,2022-02-09,2022,2,Q1,Sports,1,34.2,0.05,32.49,Direct,Mobile,London,0,2022-02,2022-02-09
O0000171,C00060,2022-06-18,2022,6,Q2,Sports,2,52.56,0.0,105.13,Direct,Mobile,London,1,2022-06,2022-06-18
O0000172,C00060,2022-11-01,2022,11,Q4,Clothing,2,72.86,0.15,123.87,Direct,Mobile,London,1,2022-11,2022-11-01
O0000173,C00060,2023-01-24,2023,1,Q1,Sports,3,48.84,0.0,146.51,Direct,Mobile,London,1,2023-01,2023-01-24
O0000174,C00060,2024-12-22,2024,12,Q4,Sports,3,106.67,0.0,320.0,Direct,Mobile,London,1,2024-12,2024-12-22
O0000175,C00061,2023-02-01,2023,2,Q1,Electronics,4,116.67,0.0,466.68,Referral,Desktop,London,0,2023-02,2023-02-01
O0000176,C00061,2024-01-04,2024,1,Q1,Home & Garden,4,75.26,0.09,273.96,Referral,Desktop,London,1,2024-01,2024-01-04
O0000177,C00061,2024-06-11,2024,6,Q2,Electronics,3,127.42,0.09,347.86,Referral,Desktop,London,1,2024-06,2024-06-11
O0000178,C00061,2024-06-22,2024,6,Q2,Electronics,1,168.82,0.21,133.37,Referral,Desktop,London,1,2024-06,2024-06-22
O0000179,C00063,2023-10-15,2023,10,Q4,Books,4,29.51,0.07,109.78,Social Media,Mobile,Wales,0,2023-10,2023-10-15
O0000180,C00063,2024-03-04,2024,3,Q1,Books,2,28.57,0.0,57.14,Social Media,Mobile,Wales,1,2024-03,2024-03-04
O0000181,C00063,2024-05-06,2024,5,Q2,Books,4,22.72,0.0,90.87,Social Media,Mobile,Wales,1,2024-05,2024-05-06
O0000182,C00063,2024-11-25,2024,11,Q4,Books,4,35.73,0.0,142.92,Social Media,Mobile,Wales,1,2024-11,2024-11-25
O0000183,C00063,2024-12-11,2024,12,Q4,Books,1,32.56,0.01,32.23,Social Media,Mobile,Wales,1,2024-12,2024-12-11
O0000184,C00064,2022-12-19,2022,12,Q4,Clothing,3,131.54,0.13,343.33,Direct,Mobile,Yorkshire,0,2022-12,2022-12-19
O0000185,C00065,2024-01-30,2024,1,Q1,Clothing,2,37.82,0.05,71.86,Social Media,Mobile,Scotland,0,2024-01,2024-01-30
O0000186,C00065,2024-08-23,2024,8,Q3,Electronics,3,139.7,0.0,419.11,Social Media,Mobile,Scotland,1,2024-08,2024-08-23
O0000187,C00065,2024-10-02,2024,10,Q4,Clothing,2,43.63,0.0,87.26,Social Media,Mobile,Scotland,1,2024-10,2024-10-02
O0000188,C00066,2023-05-06,2023,5,Q2,Home & Garden,3,99.73,0.0,299.2,Organic Search,Tablet,London,0,2023-05,2023-05-06
O0000189,C00066,2024-04-19,2024,4,Q2,Electronics,2,104.92,0.0,209.85,Organic Search,Tablet,London,1,2024-04,2024-04-19
O0000190,C00067,2022-10-03,2022,10,Q4,Beauty,2,35.61,0.0,71.23,Email,Mobile,Scotland,0,2022-10,2022-10-03
O0000191,C00068,2024-01-21,2024,1,Q1,Electronics,4,172.51,0.13,600.34,Direct,Mobile,North West,0,2024-01,2024-01-21
O0000192,C00070,2024-01-25,2024,1,Q1,Clothing,2,61.89,0.23,95.31,Organic Search,Desktop,North West,0,2024-01,2024-01-25
O0000193,C00070,2024-11-19,2024,11,Q4,Home & Garden,2,123.29,0.0,246.57,Organic Search,Desktop,North West,1,2024-11,2024-11-19
O0000194,C00072,2024-08-11,2024,8,Q3,Sports,2,50.1,0.0,100.2,Organic Search,Mobile,London,0,2024-08,2024-08-11
