customer_id,recency_days,frequency,monetary,first_order,last_order,avg_order_value,n_categories,r_score,f_score,m_score,rfm_segment,customer_lifetime_days,region,acquisition_channel,age_band
C00030,32,4,493.99,2024-04-27,2024-11-29,123.5,2,5,4,3,Champions,216,Scotland,Direct,45-54
C00032,1024,1,101.72,2022-03-13,2022-03-13,101.72,1,1,1,1,Hibernating,0,Yorkshire,Referral,35-44
C00033,75,2,337.45,2023-10-07,2024-10-17,168.72,2,4,2,2,Recent Customers,376,South West,Social Media,18-24
C00034,194,3,282.57,2023-10-04,2024-06-20,94.19,2,2,3,2,At Risk,260,South East,Referral,35-44
C00035,792,3,442.82,2022-03-02,2022-10-31,147.61,1,1,3,3,At Risk,243,South West,Email,35-44
C00036,165,3,719.73,2022-11-10,2024-07-19,239.91,3,3,3,4,Loyal Customers,617,London,Referral,55+
C00038,45,4,995.02,2023-12-27,2024-11-16,248.76,3,4,4,4,Champions,325,South East,Paid Search,45-54
C00039,102,1,334.63,2024-09-20,2024-09-20,334.63,1,3,1,2,Lost,0,London,Email,35-44
C00040,9,2,512.84,2024-12-07,2024-12-22,256.42,1,5,2,3,Recent Customers,15,Scotland,Organic Search,25-34
C00041,509,1,38.7,2023-08-10,2023-08-10,38.7,1,1,1,1,Hibernating,0,Scotland,Direct,45-54
C00042,228,5,586.37,2022-06-10,2024-05-17,117.27,2,2,4,3,Cannot Lose Them,707,North West,Organic Search,35-44
C00043,160,4,362.93,2023-06-29,2024-07-24,90.73,2,3,4,2,Loyal Customers,391,North West,Organic Search,45-54
C00044,549,5,850.76,2022-01-29,2023-07-01,170.15,2,1,4,4,Cannot Lose Them,518,Scotland,Paid Search,45-54
C00046,17,4,446.28,2023-08-18,2024-12-14,111.57,2,5,4,3,Champions,484,Wales,Paid Search,25-34
C00047,53,6,811.05,2024-01-05,2024-11-08,135.17,2,4,5,4,Champions,308,London,Referral,25-34
C00049,65,1,399.73,2024-10-27,2024-10-27,399.73,1,4,1,3,Recent Customers,0,North East,Email,25-34
C00050,55,5,1076.52,2024-03-08,2024-11-06,215.3,3,4,4,5,Champions,243,North West,Organic Search,55+
C00051,372,2,383.55,2022-12-22,2023-12-25,191.78,2,1,2,2,Hibernating,368,London,Paid Search,25-34
C00052,197,8,2165.55,2021-04-20,2024-06-17,270.69,5,2,5,5,Cannot Lose Them,1154,Wales,Direct,55+
C00053,386,3,339.67,2023-02-10,2023-12-11,113.22,2,1,3,2,At Risk,304,South West,Email,45-54
C00054,802,1,82.02,2022-10-21,2022-10-21,82.02,1,1,1,1,Hibernating,0,Midlands,Paid Search,35-44
C00055,64,4,921.79,2024-07-29,2024-10-28,230.45,1,4,4,4,Champions,91,Wales,Direct,18-24
C00056,34,9,1577.95,2024-07-11,2024-11-27,175.33,5,4,5,5,Champions,139,South West,Organic Search,18-24
C00057,9,4,147.89,2023-05-13,2024-12-22,36.97,1,5,4,1,Champions,589,Yorkshire,Email,18-24
C00058,636,1,66.73,2023-04-05,2023-04-05,66.73,1,1,1,1,Hibernating,0,South East,Organic Search,55+
C00059,194,5,633.21,2023-10-22,2024-06-20,126.64,3,2,4,4,Cannot Lose Them,242,Midlands,Direct,35-44
C00060,9,5,728.0,2022-02-09,2024-12-22,145.6,2,5,4,4,Champions,1047,London,Direct,25-34
C00061,192,4,1221.87,2023-02-01,2024-06-22,305.47,2,2,4,5,Cannot Lose Them,507,London,Referral,55+
C00063,20,5,432.94,2023-10-15,2024-12-11,86.59,1,5,4,3,Champions,423,Wales,Social Media,55+
C00064,743,1,343.33,2022-12-19,2022-12-19,343.33,1,1,1,2,Hibernating,0,Yorkshire,Direct,18-24
C00065,90,3,578.23,2024-01-30,2024-10-02,192.74,2,3,3,3,Loyal Customers,246,Scotland,Social Media,25-34
C00066,256,2,509.05,2023-05-06,2024-04-19,254.52,2,2,2,3,Hibernating,349,London,Organic Search,25-34
C00067,820,1,71.23,2022-10-03,2022-10-03,71.23,1,1,1,1,Hibernating,0,Scotland,Email,35-44
C00068,345,1,600.34,2024-01-21,2024-01-21,600.34,1,2,1,3,Hibernating,0,North West,Direct,18-24
C00070,42,2,341.88,2024-01-25,2024-11-19,170.94,2,4,2,2,Recent Customers,299,North West,Organic Search,55+
C00072,75,3,1161.86,2024-08-11,2024-10-17,387.29,2,4,3,5,Loyal Customers,67,London,Organic Search,55+
C00073,42,1,333.03,2024-11-19,2024-11-19,333.03,1,4,1,2,Recent Customers,0,London,Organic Search,35-44
C00074,137,3,967.24,2023-03-04,2024-08-16,322.41,3,3,3,4,Loyal Customers,531,London,Email,25-34
C00075,278,2,163.94,2023-06-04,2024-03-28,81.97,2,2,2,1,Hibernating,298,Wales,Email,45-54
C00076,188,6,2843.33,2023-06-21,2024-06-26,473.89,2,2,5,5,Cannot Lose Them,371,London,Organic Search,35-44
C00077,124,4,985.99,2022-08-22,2024-08-29,246.5,2,3,4,4,Loyal Customers,738,Scotland,Email,45-54
C00078,1121,1,193.07,2021-12-06,2021-12-06,193.07,1,1,1,1,Hibernating,0,London,Email,45-54
C00079,548,3,1251.71,2021-12-01,2023-07-02,417.24,3,1,3,5,At Risk,578,South East,Organic Search,55+
C00082,36,4,1951.45,2024-04-06,2024-11-25,487.86,1,4,4,5,Champions,233,Yorkshire,Paid Search,45-54
C00083,749,2,560.85,2021-10-22,2022-12-13,280.42,1,1,2,3,Hibernating,417,Scotland,Paid Search,45-54
C00084,191,2,60.48,2023-08-24,2024-06-23,30.24,2,2,2,1,Hibernating,304,Scotland,Direct,35-44
C00085,462,1,256.27,2023-09-26,2023-09-26,256.27,1,1,1,2,Hibernating,0,London,Social Media,55+
C00086,226,1,28.09,2024-05-19,2024-05-19,28.09,1,2,1,1,Hibernating,0,Scotland,Direct,35-44
C00087,135,10,1908.5,2023-10-01,2024-08-18,190.85,3,3,5,5,Loyal Customers,322,Midlands,Paid Search,25-34
C00088,249,4,1239.65,2022-12-10,2024-04-26,309.91,2,2,4,5,Cannot Lose Them,503,London,Organic Search,25-34
C00090,108,2,748.68,2024-07-16,2024-09-14,374.34,2,3,2,4,Lost,60,North West,Organic Search,25-34
C00091,5,3,305.46,2024-02-29,2024-12-26,101.82,1,5,3,2,Loyal Customers,301,Yorkshire,Email,35-44
C00092,781,1,271.63,2022-11-11,2022-11-11,271.63,1,1,1,2,Hibernating,0,London,Paid Search,18-24
C00094,19,4,1060.05,2024-11-13,2024-12-12,265.01,1,5,4,5,Champions,29,London,Organic Search,35-44
C00095,53,1,446.53,2024-11-08,2024-11-08,446.53,1,4,1,3,Recent Customers,0,Midlands,Organic Search,18-24
C00096,24,6,996.15,2024-08-11,2024-12-07,166.02,2,5,5,4,Champions,118,North West,Organic Search,35-44
C00097,182,7,540.12,2021-05-21,2024-07-02,77.16,4,2,5,3,Cannot Lose Them,1138,Yorkshire,Email,35-44
C00098,16,3,891.93,2024-10-12,2024-12-15,297.31,1,5,3,4,Loyal Customers,64,South East,Paid Search,25-34
C00100,1,6,1144.84,2024-11-09,2024-12-30,190.81,1,5,5,5,Champions,51,South East,Organic Search,35-44
C00101,23,2,127.38,2024-09-15,2024-12-08,63.69,1,5,2,1,Recent Customers,84,Wales,Direct,18-24
C00102,80,8,1661.9,2021-10-24,2024-10-12,207.74,3,4,5,5,Champions,1084,London,Email,35-44
C00103,63,4,508.05,2022-09-02,2024-10-29,127.01,2,4,4,3,Champions,788,South East,Paid Search,25-34
C00104,73,2,79.35,2022-10-31,2024-10-19,39.67,1,4,2,1,Recent Customers,719,North East,Organic Search,25-34
C00105,209,5,465.51,2023-01-26,2024-06-05,93.1,3,2,4,3,Cannot Lose Them,496,North West,Organic Search,25-34
C00106,304,8,1431.07,2021-12-20,2024-03-02,178.88,3,2,5,5,Cannot Lose Them,803,London,Organic Search,45-54
C00108,196,3,313.2,2022-09-06,2024-06-18,104.4,1,2,3,2,At Risk,651,Wales,Social Media,45-54
C00109,72,5,1041.78,2024-07-24,2024-10-20,208.36,3,4,4,5,Champions,88,London,Organic Search,35-44
C00110,873,1,109.48,2022-08-11,2022-08-11,109.48,1,1,1,1,Hibernating,0,Midlands,Email,55+
C00113,240,1,32.29,2024-05-05,2024-05-05,32.29,1,2,1,1,Hibernating,0,Yorkshire,Social Media,45-54
C00114,3,4,401.06,2024-05-30,2024-12-28,100.26,2,5,4,3,Champions,212,North East,Organic Search,45-54
C00115,102,3,700.97,2023-07-10,2024-09-20,233.66,3,3,3,4,Loyal Customers,438,Midlands,Paid Search,35-44
C00117,561,2,236.24,2023-04-23,2023-06-19,118.12,1,1,2,2,Hibernating,57,North West,Organic Search,25-34
C00118,98,4,689.84,2023-08-02,2024-09-24,172.46,2,3,4,4,Loyal Customers,419,Midlands,Direct,25-34
C00119,79,2,243.67,2023-04-24,2024-10-13,121.84,2,4,2,2,Recent Customers,538,London,Direct,35-44
C00120,416,2,151.1,2023-10-08,2023-11-11,75.55,1,1,2,1,Hibernating,34,Midlands,Paid Search,55+
C00121,39,4,1316.54,2023-07-02,2024-11-22,329.14,2,4,4,5,Champions,509,London,Organic Search,25-34
C00122,174,1,160.03,2024-07-10,2024-07-10,160.03,1,3,1,1,Lost,0,North West,Organic Search,18-24
C00123,147,9,3022.83,2023-09-17,2024-08-06,335.87,3,3,5,5,Loyal Customers,324,North West,Direct,35-44
C00124,722,2,649.38,2021-12-21,2023-01-09,324.69,2,1,2,4,Hibernating,384,South East,Paid Search,35-44
C00125,7,8,1224.24,2023-02-02,2024-12-24,153.03,2,5,5,5,Champions,691,South East,Social Media,25-34
C00126,113,6,1226.76,2023-12-17,2024-09-09,204.46,2,3,5,5,Loyal Customers,267,Wales,Organic Search,55+
C00127,62,3,909.6,2022-12-11,2024-10-30,303.2,3,4,3,4,Loyal Customers,689,South East,Paid Search,25-34
C00128,54,6,1555.85,2022-12-01,2024-11-07,259.31,3,4,5,5,Champions,707,London,Paid Search,45-54
C00132,204,3,376.65,2023-05-03,2024-06-10,125.55,1,2,3,2,At Risk,404,Midlands,Paid Search,35-44
C00133,66,6,587.12,2024-08-19,2024-10-26,97.85,2,4,5,3,Champions,68,South East,Social Media,25-34
C00134,310,4,836.53,2022-11-25,2024-02-25,209.13,2,2,4,4,Cannot Lose Them,457,North West,Paid Search,45-54
C00135,62,5,435.0,2024-03-08,2024-10-30,87.0,2,4,4,3,Champions,236,South East,Email,45-54
C00136,383,1,170.53,2023-12-14,2023-12-14,170.53,1,1,1,1,Hibernating,0,North West,Organic Search,45-54
C00140,360,5,610.08,2023-04-04,2024-01-06,122.02,2,2,4,3,Cannot Lose Them,277,London,Direct,25-34
C00141,80,3,338.06,2023-12-23,2024-10-12,112.69,2,4,3,2,Loyal Customers,294,Yorkshire,Social Media,25-34
C00143,188,2,124.39,2024-03-23,2024-06-26,62.19,2,2,2,1,Hibernating,95,North East,Paid Search,25-34
C00145,12,2,694.0,2023-11-07,2024-12-19,347.0,1,5,2,4,Recent Customers,408,Wales,Paid Search,35-44
C00146,259,4,649.57,2023-06-11,2024-04-16,162.39,3,2,4,4,Cannot Lose Them,310,Midlands,Organic Search,25-34
C00147,538,6,1024.49,2021-07-20,2023-07-12,170.75,4,1,5,4,Cannot Lose Them,722,North West,Paid Search,35-44
C00148,21,3,560.68,2022-04-04,2024-12-10,186.89,2,5,3,3,Loyal Customers,981,Scotland,Social Media,35-44
C00149,779,3,298.59,2021-12-30,2022-11-13,99.53,1,1,3,2,At Risk,318,Scotland,Referral,35-44
C00150,724,1,100.55,2023-01-07,2023-01-07,100.55,1,1,1,1,Hibernating,0,Scotland,Social Media,35-44
C00152,44,3,206.89,2024-09-28,2024-11-17,68.96,1,4,3,2,Loyal Customers,50,Wales,Organic Search,18-24
C00153,141,6,421.85,2022-10-02,2024-08-12,70.31,3,3,5,3,Loyal Customers,680,South East,Organic Search,45-54
C00154,482,2,249.7,2022-08-29,2023-09-06,124.85,1,1,2,2,Hibernating,373,South East,Social Media,25-34
C00156,503,1,432.29,2023-08-16,2023-08-16,432.29,1,1,1,3,Hibernating,0,South West,Social Media,45-54
C00157,227,6,1962.58,2022-08-25,2024-05-18,327.1,3,2,5,5,Cannot Lose Them,632,Wales,Organic Search,55+
C00158,10,7,2049.66,2024-03-09,2024-12-21,292.81,4,5,5,5,Champions,287,London,Organic Search,35-44
C00159,86,2,165.07,2024-10-05,2024-10-06,82.54,1,3,2,1,Lost,1,London,Paid Search,18-24
C00160,31,3,281.25,2024-06-28,2024-11-30,93.75,1,5,3,2,Loyal Customers,155,Scotland,Social Media,55+
C00161,87,5,473.33,2023-11-08,2024-10-05,94.67,3,3,4,3,Loyal Customers,332,North West,Organic Search,25-34
C00162,53,1,259.61,2024-11-08,2024-11-08,259.61,1,4,1,2,Recent Customers,0,Scotland,Direct,25-34
C00163,423,4,502.91,2022-09-23,2023-11-04,125.73,1,1,4,3,Cannot Lose Them,407,North West,Social Media,18-24
C00164,64,4,1885.1,2024-02-17,2024-10-28,471.28,1,4,4,5,Champions,254,South East,Organic Search,18-24
C00165,19,10,2107.22,2024-02-28,2024-12-12,210.72,2,5,5,5,Champions,288,Yorkshire,Email,35-44
C00166,271,2,95.71,2024-02-02,2024-04-04,47.86,1,2,2,1,Hibernating,62,London,Social Media,35-44
C00169,76,4,943.19,2024-01-02,2024-10-16,235.8,1,4,4,4,Champions,288,London,Email,55+
C00171,15,3,464.1,2024-10-08,2024-12-16,154.7,1,5,3,3,Loyal Customers,69,South West,Email,45-54
C00172,51,6,1194.66,2024-05-26,2024-11-10,199.11,2,4,5,5,Champions,168,London,Organic Search,55+
C00174,226,3,502.39,2022-07-24,2024-05-19,167.46,2,2,3,3,At Risk,665,Scotland,Organic Search,35-44
C00175,450,2,206.89,2023-05-18,2023-10-08,103.44,1,1,2,2,Hibernating,143,London,Organic Search,35-44
C00176,33,5,1244.44,2024-07-07,2024-11-28,248.89,1,4,4,5,Champions,144,London,Social Media,18-24
C00177,165,1,74.72,2024-07-19,2024-07-19,74.72,1,3,1,1,Lost,0,North West,Email,55+
C00178,58,5,846.18,2022-06-01,2024-11-03,169.24,2,4,4,4,Champions,886,South East,Social Media,25-34
C00179,95,8,3562.16,2022-06-22,2024-09-27,445.27,3,3,5,5,Loyal Customers,828,Scotland,Referral,35-44
C00180,11,7,1418.11,2023-08-18,2024-12-20,202.59,3,5,5,5,Champions,490,London,Organic Search,45-54
C00181,6,6,462.82,2022-10-01,2024-12-25,77.14,3,5,5,3,Champions,816,London,Paid Search,45-54
C00182,118,1,38.7,2024-09-04,2024-09-04,38.7,1,3,1,1,Lost,0,South West,Organic Search,35-44
C00185,15,1,230.67,2024-12-16,2024-12-16,230.67,1,5,1,2,Recent Customers,0,Scotland,Paid Search,45-54
C00186,5,4,412.25,2024-08-26,2024-12-26,103.06,3,5,4,3,Champions,122,Yorkshire,Email,25-34
C00188,373,5,1071.98,2022-08-01,2023-12-24,214.4,3,1,4,5,Cannot Lose Them,510,Yorkshire,Organic Search,45-54
C00189,1020,1,249.62,2022-03-17,2022-03-17,249.62,1,1,1,2,Hibernating,0,London,Paid Search,55+
C00190,439,6,1745.77,2021-12-08,2023-10-19,290.96,3,1,5,5,Cannot Lose Them,680,South West,Direct,35-44
C00191,71,5,1121.12,2024-04-23,2024-10-21,224.22,4,4,4,5,Champions,181,London,Email,25-34
C00192,719,1,45.95,2023-01-12,2023-01-12,45.95,1,1,1,1,Hibernating,0,London,Paid Search,25-34
C00193,155,5,638.18,2022-12-10,2024-07-29,127.64,3,3,4,4,Loyal Customers,597,North West,Organic Search,45-54
C00194,68,7,1040.63,2023-09-24,2024-10-24,148.66,5,4,5,5,Champions,396,South West,Referral,35-44
C00195,48,6,783.51,2024-03-30,2024-11-13,130.58,3,4,5,4,Champions,228,Midlands,Social Media,45-54
C00197,101,2,102.87,2023-09-13,2024-09-21,51.44,2,3,2,1,Lost,374,Yorkshire,Social Media,25-34
C00198,118,2,164.37,2024-02-22,2024-09-04,82.18,1,3,2,1,Lost,195,Midlands,Paid Search,45-54
C00199,318,2,381.23,2023-05-05,2024-02-17,190.61,2,2,2,2,Hibernating,288,Yorkshire,Email,55+
C00200,175,2,298.6,2024-05-24,2024-07-09,149.3,2,3,2,2,Lost,46,London,Paid Search,25-34
C00201,201,3,526.43,2023-07-10,2024-06-13,175.48,1,2,3,3,At Risk,339,Scotland,Social Media,25-34
C00202,3,4,1461.75,2024-10-24,2024-12-28,365.44,1,5,4,5,Champions,65,Yorkshire,Email,18-24
C00204,69,1,47.56,2024-10-23,2024-10-23,47.56,1,4,1,1,Recent Customers,0,North West,Paid Search,45-54
C00206,343,1,200.75,2024-01-23,2024-01-23,200.75,1,2,1,2,Hibernating,0,London,Paid Search,35-44
C00207,105,5,855.73,2023-06-07,2024-09-17,171.15,2,3,4,4,Loyal Customers,468,South East,Paid Search,35-44
C00208,349,4,539.44,2022-05-04,2024-01-17,134.86,2,2,4,3,Cannot Lose Them,623,Wales,Paid Search,25-34
C00209,59,5,1094.02,2023-04-26,2024-11-02,218.8,2,4,4,5,Champions,556,North West,Organic Search,25-34
C00210,3,6,1648.95,2024-09-10,2024-12-28,274.82,2,5,5,5,Champions,109,North East,Email,45-54
C00212,7,1,84.33,2024-12-24,2024-12-24,84.33,1,5,1,1,Recent Customers,0,London,Organic Search,25-34
C00214,371,1,517.99,2023-12-26,2023-12-26,517.99,1,1,1,3,Hibernating,0,Scotland,Paid Search,35-44
C00215,235,6,974.01,2021-09-06,2024-05-10,162.34,2,2,5,4,Cannot Lose Them,977,South East,Social Media,55+
C00216,1057,2,110.0,2021-10-18,2022-02-08,55.0,2,1,2,1,Hibernating,113,London,Organic Search,35-44
C00218,30,6,476.91,2022-11-07,2024-12-01,79.48,1,5,5,3,Champions,755,Scotland,Direct,45-54
C00219,27,2,604.03,2024-11-23,2024-12-04,302.02,1,5,2,3,Recent Customers,11,London,Email,55+
C00222,20,4,751.15,2024-11-07,2024-12-11,187.79,2,5,4,4,Champions,34,South West,Paid Search,35-44
C00223,30,1,116.53,2024-12-01,2024-12-01,116.53,1,5,1,1,Recent Customers,0,Midlands,Email,35-44
C00224,106,5,509.76,2024-05-09,2024-09-16,101.95,1,3,4,3,Loyal Customers,130,Midlands,Paid Search,35-44
C00226,334,1,227.63,2024-02-01,2024-02-01,227.63,1,2,1,2,Hibernating,0,Midlands,Social Media,45-54
C00227,374,4,631.87,2022-12-10,2023-12-23,157.97,4,1,4,4,Cannot Lose Them,378,South West,Direct,18-24
C00230,81,5,911.13,2021-07-25,2024-10-11,182.23,2,4,4,4,Champions,1174,South East,Email,45-54
C00231,14,3,461.35,2022-12-23,2024-12-17,153.78,1,5,3,3,Loyal Customers,725,South East,Direct,45-54
C00232,11,8,1405.76,2024-05-21,2024-12-20,175.72,4,5,5,5,Champions,213,Midlands,Referral,55+
C00233,121,2,66.87,2024-08-07,2024-09-01,33.44,2,3,2,1,Lost,25,Midlands,Paid Search,25-34
C00234,25,8,1831.35,2024-04-20,2024-12-06,228.92,2,5,5,5,Champions,230,South East,Social Media,45-54
C00237,326,3,167.34,2023-10-15,2024-02-09,55.78,1,2,3,1,At Risk,117,Midlands,Paid Search,35-44
C00238,12,2,437.4,2024-11-03,2024-12-19,218.7,2,5,2,3,Recent Customers,46,North East,Organic Search,35-44
C00239,155,2,199.73,2024-06-23,2024-07-29,99.86,1,3,2,2,Lost,36,South East,Organic Search,25-34
C00240,19,5,1008.11,2022-11-15,2024-12-12,201.62,2,5,4,4,Champions,758,North West,Email,35-44
C00241,341,2,134.38,2022-11-09,2024-01-25,67.19,2,2,2,1,Hibernating,442,Midlands,Direct,25-34
C00242,33,5,599.68,2024-07-18,2024-11-28,119.94,3,4,4,3,Champions,133,London,Paid Search,25-34
C00243,555,8,1042.73,2021-10-22,2023-06-25,130.34,2,1,5,5,Cannot Lose Them,611,Midlands,Referral,25-34
C00244,593,1,262.51,2023-05-18,2023-05-18,262.51,1,1,1,2,Hibernating,0,North West,Social Media,55+
C00246,65,3,212.3,2023-11-09,2024-10-27,70.77,1,4,3,2,Loyal Customers,353,South West,Organic Search,45-54
C00247,48,7,2177.08,2024-03-04,2024-11-13,311.01,2,4,5,5,Champions,254,North East,Social Media,25-34
C00248,82,6,2061.05,2023-03-24,2024-10-10,343.51,3,4,5,5,Champions,566,Wales,Email,25-34
C00250,1183,1,65.99,2021-10-05,2021-10-05,65.99,1,1,1,1,Hibernating,0,London,Social Media,45-54
C00251,178,8,1531.85,2021-06-04,2024-07-06,191.48,5,2,5,5,Cannot Lose Them,1128,South East,Social Media,25-34
C00252,212,1,259.9,2024-06-02,2024-06-02,259.9,1,2,1,2,Hibernating,0,Wales,Email,45-54
C00253,261,1,720.98,2024-04-14,2024-04-14,720.98,1,2,1,4,Hibernating,0,London,Direct,55+
C00254,19,3,367.58,2024-08-18,2024-12-12,122.53,1,5,3,2,Loyal Customers,116,North West,Organic Search,55+
C00256,585,3,417.72,2022-10-13,2023-05-26,139.24,2,1,3,3,At Risk,225,London,Email,35-44
C00257,68,5,1224.62,2023-10-06,2024-10-24,244.92,3,4,4,5,Champions,384,Yorkshire,Social Media,25-34
C00258,85,6,943.7,2024-03-03,2024-10-07,157.28,3,4,5,4,Champions,218,North East,Organic Search,35-44
C00259,89,5,756.72,2023-04-14,2024-10-03,151.34,2,3,4,4,Loyal Customers,538,South East,Organic Search,45-54
C00260,256,1,110.9,2024-04-19,2024-04-19,110.9,1,2,1,1,Hibernating,0,North West,Paid Search,45-54
C00261,628,2,228.39,2022-11-07,2023-04-13,114.2,2,1,2,2,Hibernating,157,London,Paid Search,35-44
C00262,28,6,1001.62,2024-02-20,2024-12-03,166.94,4,5,5,4,Champions,287,London,Organic Search,55+
C00263,224,3,289.94,2022-11-17,2024-05-21,96.65,1,2,3,2,At Risk,551,South East,Email,18-24
C00264,2,6,1170.31,2022-07-08,2024-12-29,195.05,2,5,5,5,Champions,905,North West,Social Media,25-34
C00265,50,3,556.99,2023-03-03,2024-11-11,185.66,2,4,3,3,Loyal Customers,619,Scotland,Referral,35-44
C00266,10,4,1076.91,2022-12-01,2024-12-21,269.23,2,5,4,5,Champions,751,South East,Direct,45-54
C00267,151,5,502.54,2023-06-17,2024-08-02,100.51,3,3,4,3,Loyal Customers,412,Scotland,Email,35-44
C00268,29,3,630.24,2022-09-14,2024-12-02,210.08,2,5,3,4,Loyal Customers,810,Wales,Paid Search,45-54
C00269,15,4,536.56,2024-11-17,2024-12-16,134.14,1,5,4,3,Champions,29,London,Organic Search,25-34
C00271,108,3,613.74,2023-10-11,2024-09-14,204.58,1,3,3,3,Loyal Customers,339,North East,Organic Search,55+
C00272,15,6,1146.13,2024-06-27,2024-12-16,191.02,3,5,5,5,Champions,172,South East,Referral,25-34
C00273,616,1,72.27,2023-04-25,2023-04-25,72.27,1,1,1,1,Hibernating,0,South West,Email,45-54
C00274,154,4,1124.7,2023-10-19,2024-07-30,281.18,2,3,4,5,Loyal Customers,285,London,Paid Search,35-44
C00275,25,4,752.36,2024-06-21,2024-12-06,188.09,3,5,4,4,Champions,168,North West,Direct,25-34
C00277,40,5,826.78,2021-10-15,2024-11-21,165.36,2,4,4,4,Champions,1133,South East,Social Media,55+
C00280,222,3,244.71,2022-06-17,2024-05-23,81.57,3,2,3,2,At Risk,706,Scotland,Organic Search,45-54
C00281,1030,1,84.49,2022-03-07,2022-03-07,84.49,1,1,1,1,Hibernating,0,Yorkshire,Organic Search,45-54
C00282,37,1,132.24,2024-11-24,2024-11-24,132.24,1,4,1,1,Recent Customers,0,North West,Organic Search,45-54
C00284,149,3,864.22,2021-11-16,2024-08-04,288.07,3,3,3,4,Loyal Customers,992,South East,Paid Search,18-24
C00285,149,2,146.64,2024-04-02,2024-08-04,73.32,1,3,2,1,Lost,124,Scotland,Organic Search,35-44
C00286,248,3,1272.42,2023-12-28,2024-04-27,424.14,3,2,3,5,At Risk,121,Yorkshire,Organic Search,45-54
C00287,73,2,429.84,2023-12-03,2024-10-19,214.92,2,4,2,3,Recent Customers,321,North West,Paid Search,35-44
C00288,776,3,422.86,2021-11-12,2022-11-16,140.95,2,1,3,3,At Risk,369,London,Email,18-24
C00289,811,2,194.73,2022-07-14,2022-10-12,97.36,2,1,2,1,Hibernating,90,South West,Organic Search,35-44
C00290,31,2,1000.5,2024-07-29,2024-11-30,500.25,2,5,2,4,Recent Customers,124,Yorkshire,Organic Search,45-54
C00291,38,9,1427.19,2023-10-24,2024-11-23,158.58,3,4,5,5,Champions,396,Scotland,Email,45-54
C00292,53,8,696.25,2022-06-01,2024-11-08,87.03,4,4,5,4,Champions,891,South East,Email,55+
