customer_id,churned,recency_days,frequency,monetary,avg_order_value,n_categories,customer_lifetime_days,purchase_rate,r_score,f_score,m_score,rfm_segment,region,acquisition_channel,age_band
C00027,1,348,2,444.67,222.34,2,207,0.288,2,2,3,Hibernating,North West,Direct,18-24
C00029,0,10,5,948.74,189.75,2,489,0.306,5,4,4,Champions,London,Direct,25-34
C00030,0,32,4,493.99,123.5,2,216,0.553,5,4,3,Champions,Scotland,Direct,45-54
C00032,1,1024,1,101.72,101.72,1,0,30.0,1,1,1,Hibernating,Yorkshire,Referral,35-44
C00033,0,75,2,337.45,168.72,2,376,0.159,4,2,2,Recent Customers,South West,Social Media,18-24
C00034,1,194,3,282.57,94.19,2,260,0.345,2,3,2,At Risk,South East,Referral,35-44
C00035,1,792,3,442.82,147.61,1,243,0.369,1,3,3,At Risk,South West,Email,35-44
C00036,1,165,3,719.73,239.91,3,617,0.146,3,3,4,Loyal Customers,London,Referral,55+
C00038,0,45,4,995.02,248.76,3,325,0.368,4,4,4,Champions,South East,Paid Search,45-54
C00039,1,102,1,334.63,334.63,1,0,30.0,3,1,2,Lost,London,Email,35-44
C00040,0,9,2,512.84,256.42,1,15,3.75,5,2,3,Recent Customers,Scotland,Organic Search,25-34
C00041,1,509,1,38.7,38.7,1,0,30.0,1,1,1,Hibernating,Scotland,Direct,45-54
C00042,1,228,5,586.37,117.27,2,707,0.212,2,4,3,Cannot Lose Them,North West,Organic Search,35-44
C00043,1,160,4,362.93,90.73,2,391,0.306,3,4,2,Loyal Customers,North West,Organic Search,45-54
C00044,1,549,5,850.76,170.15,2,518,0.289,1,4,4,Cannot Lose Them,Scotland,Paid Search,45-54
C00046,0,17,4,446.28,111.57,2,484,0.247,5,4,3,Champions,Wales,Paid Search,25-34
C00047,0,53,6,811.05,135.17,2,308,0.583,4,5,4,Champions,London,Referral,25-34
C00049,0,65,1,399.73,399.73,1,0,30.0,4,1,3,Recent Customers,North East,Email,25-34
C00050,0,55,5,1076.52,215.3,3,243,0.615,4,4,5,Champions,North West,Organic Search,55+
C00051,1,372,2,383.55,191.78,2,368,0.163,1,2,2,Hibernating,London,Paid Search,25-34
C00052,1,197,8,2165.55,270.69,5,1154,0.208,2,5,5,Cannot Lose Them,Wales,Direct,55+
C00053,1,386,3,339.67,113.22,2,304,0.295,1,3,2,At Risk,South West,Email,45-54
C00054,1,802,1,82.02,82.02,1,0,30.0,1,1,1,Hibernating,Midlands,Paid Search,35-44
C00055,0,64,4,921.79,230.45,1,91,1.304,4,4,4,Champions,Wales,Direct,18-24
C00056,0,34,9,1577.95,175.33,5,139,1.929,4,5,5,Champions,South West,Organic Search,18-24
C00057,0,9,4,147.89,36.97,1,589,0.203,5,4,1,Champions,Yorkshire,Email,18-24
C00058,1,636,1,66.73,66.73,1,0,30.0,1,1,1,Hibernating,South East,Organic Search,55+
C00059,1,194,5,633.21,126.64,3,242,0.617,2,4,4,Cannot Lose Them,Midlands,Direct,35-44
C00060,0,9,5,728.0,145.6,2,1047,0.143,5,4,4,Champions,London,Direct,25-34
C00061,1,192,4,1221.87,305.47,2,507,0.236,2,4,5,Cannot Lose Them,London,Referral,55+
C00063,0,20,5,432.94,86.59,1,423,0.354,5,4,3,Champions,Wales,Social Media,55+
C00064,1,743,1,343.33,343.33,1,0,30.0,1,1,2,Hibernating,Yorkshire,Direct,18-24
C00065,0,90,3,578.23,192.74,2,246,0.364,3,3,3,Loyal Customers,Scotland,Social Media,25-34
C00066,1,256,2,509.05,254.52,2,349,0.171,2,2,3,Hibernating,London,Organic Search,25-34
C00067,1,820,1,71.23,71.23,1,0,30.0,1,1,1,Hibernating,Scotland,Email,35-44
C00068,1,345,1,600.34,600.34,1,0,30.0,2,1,3,Hibernating,North West,Direct,18-24
C00070,0,42,2,341.88,170.94,2,299,0.2,4,2,2,Recent Customers,North West,Organic Search,55+
C00072,0,75,3,1161.86,387.29,2,67,1.324,4,3,5,Loyal Customers,London,Organic Search,55+
C00073,0,42,1,333.03,333.03,1,0,30.0,4,1,2,Recent Customers,London,Organic Search,35-44
C00074,1,137,3,967.24,322.41,3,531,0.169,3,3,4,Loyal Customers,London,Email,25-34
C00075,1,278,2,163.94,81.97,2,298,0.201,2,2,1,Hibernating,Wales,Email,45-54
C00076,1,188,6,2843.33,473.89,2,371,0.484,2,5,5,Cannot Lose Them,London,Organic Search,35-44
C00077,1,124,4,985.99,246.5,2,738,0.162,3,4,4,Loyal Customers,Scotland,Email,45-54
C00078,1,1121,1,193.07,193.07,1,0,30.0,1,1,1,Hibernating,London,Email,45-54
C00079,1,548,3,1251.71,417.24,3,578,0.155,1,3,5,At Risk,South East,Organic Search,55+
C00082,0,36,4,1951.45,487.86,1,233,0.513,4,4,5,Champions,Yorkshire,Paid Search,45-54
C00083,1,749,2,560.85,280.42,1,417,0.144,1,2,3,Hibernating,Scotland,Paid Search,45-54
C00084,1,191,2,60.48,30.24,2,304,0.197,2,2,1,Hibernating,Scotland,Direct,35-44
C00085,1,462,1,256.27,256.27,1,0,30.0,1,1,2,Hibernating,London,Social Media,55+
C00086,1,226,1,28.09,28.09,1,0,30.0,2,1,1,Hibernating,Scotland,Direct,35-44
C00087,1,135,10,1908.5,190.85,3,322,0.929,3,5,5,Loyal Customers,Midlands,Paid Search,25-34
C00088,1,249,4,1239.65,309.91,2,503,0.238,2,4,5,Cannot Lose Them,London,Organic Search,25-34
C00090,1,108,2,748.68,374.34,2,60,0.984,3,2,4,Lost,North West,Organic Search,25-34
C00091,0,5,3,305.46,101.82,1,301,0.298,5,3,2,Loyal Customers,Yorkshire,Email,35-44
C00092,1,781,1,271.63,271.63,1,0,30.0,1,1,2,Hibernating,London,Paid Search,18-24
C00094,0,19,4,1060.05,265.01,1,29,4.0,5,4,5,Champions,London,Organic Search,35-44
C00095,0,53,1,446.53,446.53,1,0,30.0,4,1,3,Recent Customers,Midlands,Organic Search,18-24
C00096,0,24,6,996.15,166.02,2,118,1.513,5,5,4,Champions,North West,Organic Search,35-44
C00097,1,182,7,540.12,77.16,4,1138,0.184,2,5,3,Cannot Lose Them,Yorkshire,Email,35-44
C00098,0,16,3,891.93,297.31,1,64,1.385,5,3,4,Loyal Customers,South East,Paid Search,25-34
C00100,0,1,6,1144.84,190.81,1,51,3.462,5,5,5,Champions,South East,Organic Search,35-44
C00101,0,23,2,127.38,63.69,1,84,0.706,5,2,1,Recent Customers,Wales,Direct,18-24
C00102,0,80,8,1661.9,207.74,3,1084,0.221,4,5,5,Champions,London,Email,35-44
C00103,0,63,4,508.05,127.01,2,788,0.152,4,4,3,Champions,South East,Paid Search,25-34
C00104,0,73,2,79.35,39.67,1,719,0.083,4,2,1,Recent Customers,North East,Organic Search,25-34
C00105,1,209,5,465.51,93.1,3,496,0.302,2,4,3,Cannot Lose Them,North West,Organic Search,25-34
C00106,1,304,8,1431.07,178.88,3,803,0.299,2,5,5,Cannot Lose Them,London,Organic Search,45-54
C00108,1,196,3,313.2,104.4,1,651,0.138,2,3,2,At Risk,Wales,Social Media,45-54
C00109,0,72,5,1041.78,208.36,3,88,1.685,4,4,5,Champions,London,Organic Search,35-44
C00110,1,873,1,109.48,109.48,1,0,30.0,1,1,1,Hibernating,Midlands,Email,55+
C00113,1,240,1,32.29,32.29,1,0,30.0,2,1,1,Hibernating,Yorkshire,Social Media,45-54
C00114,0,3,4,401.06,100.26,2,212,0.563,5,4,3,Champions,North East,Organic Search,45-54
C00115,1,102,3,700.97,233.66,3,438,0.205,3,3,4,Loyal Customers,Midlands,Paid Search,35-44
C00117,1,561,2,236.24,118.12,1,57,1.034,1,2,2,Hibernating,North West,Organic Search,25-34
C00118,1,98,4,689.84,172.46,2,419,0.286,3,4,4,Loyal Customers,Midlands,Direct,25-34
C00119,0,79,2,243.67,121.84,2,538,0.111,4,2,2,Recent Customers,London,Direct,35-44
C00120,1,416,2,151.1,75.55,1,34,1.714,1,2,1,Hibernating,Midlands,Paid Search,55+
C00121,0,39,4,1316.54,329.14,2,509,0.235,4,4,5,Champions,London,Organic Search,25-34
C00122,1,174,1,160.03,160.03,1,0,30.0,3,1,1,Lost,North West,Organic Search,18-24
C00123,1,147,9,3022.83,335.87,3,324,0.831,3,5,5,Loyal Customers,North West,Direct,35-44
C00124,1,722,2,649.38,324.69,2,384,0.156,1,2,4,Hibernating,South East,Paid Search,35-44
C00125,0,7,8,1224.24,153.03,2,691,0.347,5,5,5,Champions,South East,Social Media,25-34
C00126,1,113,6,1226.76,204.46,2,267,0.672,3,5,5,Loyal Customers,Wales,Organic Search,55+
C00127,0,62,3,909.6,303.2,3,689,0.13,4,3,4,Loyal Customers,South East,Paid Search,25-34
C00128,0,54,6,1555.85,259.31,3,707,0.254,4,5,5,Champions,London,Paid Search,45-54
C00132,1,204,3,376.65,125.55,1,404,0.222,2,3,2,At Risk,Midlands,Paid Search,35-44
C00133,0,66,6,587.12,97.85,2,68,2.609,4,5,3,Champions,South East,Social Media,25-34
C00134,1,310,4,836.53,209.13,2,457,0.262,2,4,4,Cannot Lose Them,North West,Paid Search,45-54
C00135,0,62,5,435.0,87.0,2,236,0.633,4,4,3,Champions,South East,Email,45-54
C00136,1,383,1,170.53,170.53,1,0,30.0,1,1,1,Hibernating,North West,Organic Search,45-54
C00140,1,360,5,610.08,122.02,2,277,0.54,2,4,3,Cannot Lose Them,London,Direct,25-34
C00141,0,80,3,338.06,112.69,2,294,0.305,4,3,2,Loyal Customers,Yorkshire,Social Media,25-34
C00143,1,188,2,124.39,62.19,2,95,0.625,2,2,1,Hibernating,North East,Paid Search,25-34
C00145,0,12,2,694.0,347.0,1,408,0.147,5,2,4,Recent Customers,Wales,Paid Search,35-44
C00146,1,259,4,649.57,162.39,3,310,0.386,2,4,4,Cannot Lose Them,Midlands,Organic Search,25-34
C00147,1,538,6,1024.49,170.75,4,722,0.249,1,5,4,Cannot Lose Them,North West,Paid Search,35-44
C00148,0,21,3,560.68,186.89,2,981,0.092,5,3,3,Loyal Customers,Scotland,Social Media,35-44
C00149,1,779,3,298.59,99.53,1,318,0.282,1,3,2,At Risk,Scotland,Referral,35-44
C00150,1,724,1,100.55,100.55,1,0,30.0,1,1,1,Hibernating,Scotland,Social Media,35-44
C00152,0,44,3,206.89,68.96,1,50,1.765,4,3,2,Loyal Customers,Wales,Organic Search,18-24
C00153,1,141,6,421.85,70.31,3,680,0.264,3,5,3,Loyal Customers,South East,Organic Search,45-54
C00154,1,482,2,249.7,124.85,1,373,0.16,1,2,2,Hibernating,South East,Social Media,25-34
C00156,1,503,1,432.29,432.29,1,0,30.0,1,1,3,Hibernating,South West,Social Media,45-54
C00157,1,227,6,1962.58,327.1,3,632,0.284,2,5,5,Cannot Lose Them,Wales,Organic Search,55+
C00158,0,10,7,2049.66,292.81,4,287,0.729,5,5,5,Champions,London,Organic Search,35-44
C00159,0,86,2,165.07,82.54,1,1,30.0,3,2,1,Lost,London,Paid Search,18-24
C00160,0,31,3,281.25,93.75,1,155,0.577,5,3,2,Loyal Customers,Scotland,Social Media,55+
C00161,0,87,5,473.33,94.67,3,332,0.45,3,4,3,Loyal Customers,North West,Organic Search,25-34
C00162,0,53,1,259.61,259.61,1,0,30.0,4,1,2,Recent Customers,Scotland,Direct,25-34
C00163,1,423,4,502.91,125.73,1,407,0.294,1,4,3,Cannot Lose Them,North West,Social Media,18-24
C00164,0,64,4,1885.1,471.28,1,254,0.471,4,4,5,Champions,South East,Organic Search,18-24
C00165,0,19,10,2107.22,210.72,2,288,1.038,5,5,5,Champions,Yorkshire,Email,35-44
C00166,1,271,2,95.71,47.86,1,62,0.952,2,2,1,Hibernating,London,Social Media,35-44
C00169,0,76,4,943.19,235.8,1,288,0.415,4,4,4,Champions,London,Email,55+
C00171,0,15,3,464.1,154.7,1,69,1.286,5,3,3,Loyal Customers,South West,Email,45-54
C00172,0,51,6,1194.66,199.11,2,168,1.065,4,5,5,Champions,London,Organic Search,55+
C00174,1,226,3,502.39,167.46,2,665,0.135,2,3,3,At Risk,Scotland,Organic Search,35-44
C00175,1,450,2,206.89,103.44,1,143,0.417,1,2,2,Hibernating,London,Organic Search,35-44
C00176,0,33,5,1244.44,248.89,1,144,1.034,4,4,5,Champions,London,Social Media,18-24
C00177,1,165,1,74.72,74.72,1,0,30.0,3,1,1,Lost,North West,Email,55+
C00178,0,58,5,846.18,169.24,2,886,0.169,4,4,4,Champions,South East,Social Media,25-34
C00179,1,95,8,3562.16,445.27,3,828,0.29,3,5,5,Loyal Customers,Scotland,Referral,35-44
C00180,0,11,7,1418.11,202.59,3,490,0.428,5,5,5,Champions,London,Organic Search,45-54
C00181,0,6,6,462.82,77.14,3,816,0.22,5,5,3,Champions,London,Paid Search,45-54
C00182,1,118,1,38.7,38.7,1,0,30.0,3,1,1,Lost,South West,Organic Search,35-44
C00185,0,15,1,230.67,230.67,1,0,30.0,5,1,2,Recent Customers,Scotland,Paid Search,45-54
C00186,0,5,4,412.25,103.06,3,122,0.976,5,4,3,Champions,Yorkshire,Email,25-34
C00188,1,373,5,1071.98,214.4,3,510,0.294,1,4,5,Cannot Lose Them,Yorkshire,Organic Search,45-54
C00189,1,1020,1,249.62,249.62,1,0,30.0,1,1,2,Hibernating,London,Paid Search,55+
C00190,1,439,6,1745.77,290.96,3,680,0.264,1,5,5,Cannot Lose Them,South West,Direct,35-44
C00191,0,71,5,1121.12,224.22,4,181,0.824,4,4,5,Champions,London,Email,25-34
C00192,1,719,1,45.95,45.95,1,0,30.0,1,1,1,Hibernating,London,Paid Search,25-34
C00193,1,155,5,638.18,127.64,3,597,0.251,3,4,4,Loyal Customers,North West,Organic Search,45-54
C00194,0,68,7,1040.63,148.66,5,396,0.529,4,5,5,Champions,South West,Referral,35-44
C00195,0,48,6,783.51,130.58,3,228,0.786,4,5,4,Champions,Midlands,Social Media,45-54
C00197,1,101,2,102.87,51.44,2,374,0.16,3,2,1,Lost,Yorkshire,Social Media,25-34
C00198,1,118,2,164.37,82.18,1,195,0.306,3,2,1,Lost,Midlands,Paid Search,45-54
C00199,1,318,2,381.23,190.61,2,288,0.208,2,2,2,Hibernating,Yorkshire,Email,55+
C00200,1,175,2,298.6,149.3,2,46,1.277,3,2,2,Lost,London,Paid Search,25-34
C00201,1,201,3,526.43,175.48,1,339,0.265,2,3,3,At Risk,Scotland,Social Media,25-34
C00202,0,3,4,1461.75,365.44,1,65,1.818,5,4,5,Champions,Yorkshire,Email,18-24
C00204,0,69,1,47.56,47.56,1,0,30.0,4,1,1,Recent Customers,North West,Paid Search,45-54
C00206,1,343,1,200.75,200.75,1,0,30.0,2,1,2,Hibernating,London,Paid Search,35-44
C00207,1,105,5,855.73,171.15,2,468,0.32,3,4,4,Loyal Customers,South East,Paid Search,35-44
C00208,1,349,4,539.44,134.86,2,623,0.192,2,4,3,Cannot Lose Them,Wales,Paid Search,25-34
C00209,0,59,5,1094.02,218.8,2,556,0.269,4,4,5,Champions,North West,Organic Search,25-34
C00210,0,3,6,1648.95,274.82,2,109,1.636,5,5,5,Champions,North East,Email,45-54
C00212,0,7,1,84.33,84.33,1,0,30.0,5,1,1,Recent Customers,London,Organic Search,25-34
C00214,1,371,1,517.99,517.99,1,0,30.0,1,1,3,Hibernating,Scotland,Paid Search,35-44
C00215,1,235,6,974.01,162.34,2,977,0.184,2,5,4,Cannot Lose Them,South East,Social Media,55+
C00216,1,1057,2,110.0,55.0,2,113,0.526,1,2,1,Hibernating,London,Organic Search,35-44
C00218,0,30,6,476.91,79.48,1,755,0.238,5,5,3,Champions,Scotland,Direct,45-54
C00219,0,27,2,604.03,302.02,1,11,5.0,5,2,3,Recent Customers,London,Email,55+
C00222,0,20,4,751.15,187.79,2,34,3.429,5,4,4,Champions,South West,Paid Search,35-44
C00223,0,30,1,116.53,116.53,1,0,30.0,5,1,1,Recent Customers,Midlands,Email,35-44
C00224,1,106,5,509.76,101.95,1,130,1.145,3,4,3,Loyal Customers,Midlands,Paid Search,35-44
C00226,1,334,1,227.63,227.63,1,0,30.0,2,1,2,Hibernating,Midlands,Social Media,45-54
C00227,1,374,4,631.87,157.97,4,378,0.317,1,4,4,Cannot Lose Them,South West,Direct,18-24
C00230,0,81,5,911.13,182.23,2,1174,0.128,4,4,4,Champions,South East,Email,45-54
C00231,0,14,3,461.35,153.78,1,725,0.124,5,3,3,Loyal Customers,South East,Direct,45-54
C00232,0,11,8,1405.76,175.72,4,213,1.121,5,5,5,Champions,Midlands,Referral,55+
C00233,1,121,2,66.87,33.44,2,25,2.308,3,2,1,Lost,Midlands,Paid Search,25-34
C00234,0,25,8,1831.35,228.92,2,230,1.039,5,5,5,Champions,South East,Social Media,45-54
C00237,1,326,3,167.34,55.78,1,117,0.763,2,3,1,At Risk,Midlands,Paid Search,35-44
C00238,0,12,2,437.4,218.7,2,46,1.277,5,2,3,Recent Customers,North East,Organic Search,35-44
C00239,1,155,2,199.73,99.86,1,36,1.622,3,2,2,Lost,South East,Organic Search,25-34
C00240,0,19,5,1008.11,201.62,2,758,0.198,5,4,4,Champions,North West,Email,35-44
C00241,1,341,2,134.38,67.19,2,442,0.135,2,2,1,Hibernating,Midlands,Direct,25-34
C00242,0,33,5,599.68,119.94,3,133,1.119,4,4,3,Champions,London,Paid Search,25-34
C00243,1,555,8,1042.73,130.34,2,611,0.392,1,5,5,Cannot Lose Them,Midlands,Referral,25-34
C00244,1,593,1,262.51,262.51,1,0,30.0,1,1,2,Hibernating,North West,Social Media,55+
C00246,0,65,3,212.3,70.77,1,353,0.254,4,3,2,Loyal Customers,South West,Organic Search,45-54
C00247,0,48,7,2177.08,311.01,2,254,0.824,4,5,5,Champions,North East,Social Media,25-34
C00248,0,82,6,2061.05,343.51,3,566,0.317,4,5,5,Champions,Wales,Email,25-34
C00250,1,1183,1,65.99,65.99,1,0,30.0,1,1,1,Hibernating,London,Social Media,45-54
C00251,1,178,8,1531.85,191.48,5,1128,0.213,2,5,5,Cannot Lose Them,South East,Social Media,25-34
C00252,1,212,1,259.9,259.9,1,0,30.0,2,1,2,Hibernating,Wales,Email,45-54
C00253,1,261,1,720.98,720.98,1,0,30.0,2,1,4,Hibernating,London,Direct,55+
C00254,0,19,3,367.58,122.53,1,116,0.769,5,3,2,Loyal Customers,North West,Organic Search,55+
C00256,1,585,3,417.72,139.24,2,225,0.398,1,3,3,At Risk,London,Email,35-44
C00257,0,68,5,1224.62,244.92,3,384,0.39,4,4,5,Champions,Yorkshire,Social Media,25-34
C00258,0,85,6,943.7,157.28,3,218,0.822,4,5,4,Champions,North East,Organic Search,35-44
C00259,0,89,5,756.72,151.34,2,538,0.278,3,4,4,Loyal Customers,South East,Organic Search,45-54
C00260,1,256,1,110.9,110.9,1,0,30.0,2,1,1,Hibernating,North West,Paid Search,45-54
C00261,1,628,2,228.39,114.2,2,157,0.38,1,2,2,Hibernating,London,Paid Search,35-44
C00262,0,28,6,1001.62,166.94,4,287,0.625,5,5,4,Champions,London,Organic Search,55+
C00263,1,224,3,289.94,96.65,1,551,0.163,2,3,2,At Risk,South East,Email,18-24
C00264,0,2,6,1170.31,195.05,2,905,0.199,5,5,5,Champions,North West,Social Media,25-34
C00265,0,50,3,556.99,185.66,2,619,0.145,4,3,3,Loyal Customers,Scotland,Referral,35-44
C00266,0,10,4,1076.91,269.23,2,751,0.16,5,4,5,Champions,South East,Direct,45-54
C00267,1,151,5,502.54,100.51,3,412,0.363,3,4,3,Loyal Customers,Scotland,Email,35-44
C00268,0,29,3,630.24,210.08,2,810,0.111,5,3,4,Loyal Customers,Wales,Paid Search,45-54
C00269,0,15,4,536.56,134.14,1,29,4.0,5,4,3,Champions,London,Organic Search,25-34
C00271,1,108,3,613.74,204.58,1,339,0.265,3,3,3,Loyal Customers,North East,Organic Search,55+
C00272,0,15,6,1146.13,191.02,3,172,1.04,5,5,5,Champions,South East,Referral,25-34
C00273,1,616,1,72.27,72.27,1,0,30.0,1,1,1,Hibernating,South West,Email,45-54
C00274,1,154,4,1124.7,281.18,2,285,0.42,3,4,5,Loyal Customers,London,Paid Search,35-44
C00275,0,25,4,752.36,188.09,3,168,0.71,5,4,4,Champions,North West,Direct,25-34
C00277,0,40,5,826.78,165.36,2,1133,0.132,4,4,4,Champions,South East,Social Media,55+
C00280,1,222,3,244.71,81.57,3,706,0.127,2,3,2,At Risk,Scotland,Organic Search,45-54
C00281,1,1030,1,84.49,84.49,1,0,30.0,1,1,1,Hibernating,Yorkshire,Organic Search,45-54
C00282,0,37,1,132.24,132.24,1,0,30.0,4,1,1,Recent Customers,North West,Organic Search,45-54
C00284,1,149,3,864.22,288.07,3,992,0.091,3,3,4,Loyal Customers,South East,Paid Search,18-24
C00285,1,149,2,146.64,73.32,1,124,0.48,3,2,1,Lost,Scotland,Organic Search,35-44
C00286,1,248,3,1272.42,424.14,3,121,0.738,2,3,5,At Risk,Yorkshire,Organic Search,45-54
C00287,0,73,2,429.84,214.92,2,321,0.186,4,2,3,Recent Customers,North West,Paid Search,35-44
C00288,1,776,3,422.86,140.95,2,369,0.243,1,3,3,At Risk,London,Email,18-24
C00289,1,811,2,194.73,97.36,2,90,0.659,1,2,1,Hibernating,South West,Organic Search,35-44
C00290,0,31,2,1000.5,500.25,2,124,0.48,5,2,4,Recent Customers,Yorkshire,Organic Search,45-54
C00291,0,38,9,1427.19,158.58,3,396,0.68,4,5,5,Champions,Scotland,Email,45-54
C00292,0,53,8,696.25,87.03,4,891,0.269,4,5,4,Champions,South East,Email,55+
C00293,1,322,2,549.88,274.94,1,636,0.094,2,2,3,Hibernating,Midlands,Social Media,45-54
C00294,1,400,4,229.45,57.36,1,897,0.134,1,4,2,Cannot Lose Them,Wales,Organic Search,25-34
C00297,0,75,9,1190.18,132.24,1,75,3.553,4,5,5,Champions,Scotland,Direct,18-24
C00298,1,763,1,73.29,73.29,1,0,30.0,1,1,1,Hibernating,London,Social Media,18-24
C00299,0,30,4,744.0,186.0,2,260,0.46,5,4,4,Champions,London,Organic Search,55+
C00300,0,34,1,652.36,652.36,1,0,30.0,4,1,4,Recent Customers,Yorkshire,Social Media,18-24
C00301,1,164,1,255.33,255.33,1,0,30.0,3,1,2,Lost,Midlands,Paid Search,18-24
C00302,0,2,5,636.77,127.35,2,18,7.895,5,4,4,Champions,South West,Referral,18-24
C00303,0,90,3,414.46,138.15,2,166,0.539,3,3,3,Loyal Customers,Midlands,Paid Search,45-54
C00304,1,173,2,496.16,248.08,2,110,0.541,3,2,3,Lost,South East,Direct,18-24
C00305,1,155,4,552.38,138.1,1,282,0.424,3,4,3,Loyal Customers,South East,Direct,18-24
C00306,0,41,2,484.79,242.4,2,35,1.667,4,2,3,Recent Customers,Midlands,Social Media,25-34
C00309,1,196,6,2213.84,368.97,3,783,0.23,2,5,5,Cannot Lose Them,South East,Organic Search,45-54
C00310,1,353,4,467.53,116.88,2,754,0.159,2,4,3,Cannot Lose Them,London,Email,55+
C00312,0,31,3,816.93,272.31,2,254,0.353,5,3,4,Loyal Customers,Scotland,Paid Search,18-24
C00313,0,90,2,148.76,74.38,1,488,0.123,3,2,1,Lost,South East,Email,35-44
C00314,0,8,6,794.17,132.36,2,300,0.598,5,5,4,Champions,North West,Direct,35-44
C00315,0,5,10,1470.92,147.09,4,155,1.923,5,5,5,Champions,Midlands,Paid Search,35-44
C00319,1,127,4,555.41,138.85,2,1014,0.118,3,4,3,Loyal Customers,South West,Organic Search,25-34
C00320,1,253,2,372.79,186.4,1,151,0.395,2,2,2,Hibernating,South East,Direct,45-54
C00321,0,43,2,1069.74,534.87,1,17,3.333,4,2,5,Recent Customers,Scotland,Paid Search,45-54
C00322,1,364,3,188.56,62.85,2,98,0.909,2,3,1,At Risk,South East,Organic Search,25-34
C00323,1,327,3,505.91,168.64,3,386,0.233,2,3,3,At Risk,Yorkshire,Social Media,25-34
C00324,1,98,1,62.53,62.53,1,0,30.0,3,1,1,Lost,Scotland,Organic Search,18-24
C00325,1,505,1,251.39,251.39,1,0,30.0,1,1,2,Hibernating,London,Organic Search,45-54
C00326,0,8,5,1799.59,359.92,2,477,0.314,5,4,5,Champions,North West,Direct,18-24
C00327,0,11,5,569.96,113.99,2,111,1.339,5,4,3,Champions,South West,Direct,45-54
C00328,1,492,1,18.94,18.94,1,0,30.0,1,1,1,Hibernating,South West,Direct,25-34
C00329,1,175,2,341.07,170.54,1,323,0.185,3,2,2,Lost,Scotland,Email,18-24
C00330,0,36,8,1013.09,126.64,3,667,0.359,4,5,4,Champions,North West,Organic Search,45-54
C00331,0,24,3,673.64,224.55,1,380,0.236,5,3,4,Loyal Customers,South West,Social Media,35-44
C00332,0,15,1,87.18,87.18,1,0,30.0,5,1,1,Recent Customers,Midlands,Paid Search,18-24
C00333,0,16,3,722.84,240.95,3,83,1.071,5,3,4,Loyal Customers,London,Paid Search,25-34
C00334,1,901,3,532.82,177.61,3,200,0.448,1,3,3,At Risk,London,Direct,35-44
C00335,1,233,1,208.55,208.55,1,0,30.0,2,1,2,Hibernating,Midlands,Social Media,25-34
C00336,0,74,2,561.58,280.79,1,690,0.087,4,2,3,Recent Customers,Yorkshire,Organic Search,18-24
C00339,0,18,2,487.75,243.88,1,41,1.429,5,2,3,Recent Customers,Midlands,Social Media,18-24
